n col_12 col_13 col_14 col_23 col_24 col_34
4 0.508049 0.519154 0.647536 0.769633 0.773098 0.620197
5 0.523904 0.538793 0.681604 0.762944 0.777066 0.627142
7 0.543918 0.561649 0.728068 0.756273 0.780837 0.632362
9 0.553103 0.572540 0.754657 0.754569 0.781627 0.632887
11 0.558716 0.580817 0.772044 0.757386 0.781694 0.634066
13 0.563530 0.588559 0.783167 0.764780 0.782468 0.637871
16 0.570278 0.598521 0.791889 0.781158 0.785042 0.646558
20 0.574310 0.605055 0.795963 0.801263 0.786144 0.654369
23 0.571392 0.603660 0.796403 0.810188 0.782826 0.654200
28 0.559706 0.594098 0.794700 0.816732 0.772667 0.647376
33 0.548238 0.583461 0.792302 0.820678 0.762349 0.639680
38 0.539669 0.574673 0.790132 0.824059 0.753131 0.632790
45 0.531851 0.565338 0.787000 0.828871 0.742073 0.624724
52 0.526216 0.557954 0.782739 0.833979 0.732444 0.617987
60 0.521446 0.551939 0.776734 0.840294 0.722771 0.611865
69 0.518844 0.549027 0.769653 0.847994 0.713791 0.607440
79 0.519699 0.550648 0.762221 0.856707 0.706226 0.605508
91 0.525025 0.557823 0.754143 0.866058 0.700119 0.605996
104 0.533971 0.569126 0.746058 0.873782 0.695956 0.607636
119 0.545492 0.583416 0.736896 0.879483 0.692350 0.608610
135 0.556925 0.597912 0.726724 0.882711 0.688233 0.607359
154 0.568031 0.612970 0.713795 0.884018 0.682027 0.602637
174 0.576304 0.625903 0.699115 0.883265 0.673675 0.594369
198 0.581620 0.637616 0.680417 0.880260 0.661390 0.581302
223 0.582647 0.646127 0.660422 0.875267 0.646691 0.565566
252 0.579334 0.652111 0.637304 0.867678 0.628422 0.546024
285 0.571372 0.654789 0.611669 0.857717 0.607821 0.523689
321 0.559691 0.654083 0.585157 0.846450 0.587398 0.500929
362 0.545328 0.650807 0.557837 0.834227 0.568094 0.478623
407 0.530706 0.646274 0.532054 0.822418 0.551883 0.459124
457 0.516864 0.641104 0.508285 0.811646 0.538699 0.442660
513 0.504237 0.635281 0.486586 0.802242 0.527903 0.428609
575 0.493232 0.628701 0.467151 0.794264 0.518792 0.416164
645 0.483721 0.621103 0.449448 0.787187 0.510378 0.404001
723 0.474781 0.611143 0.433007 0.780806 0.502192 0.391241
809 0.464624 0.596457 0.416949 0.774559 0.493832 0.376928
905 0.453094 0.576862 0.400313 0.768671 0.485129 0.360931
1011 0.441918 0.554034 0.382833 0.764631 0.476546 0.344684
1130 0.432109 0.528826 0.364163 0.762728 0.467374 0.328052
1261 0.425031 0.504107 0.345498 0.762939 0.456560 0.310781
1407 0.419977 0.481812 0.327011 0.763954 0.442161 0.290817
1570 0.413501 0.462197 0.306556 0.763553 0.422829 0.265748
1750 0.405938 0.446315 0.282230 0.761112 0.400388 0.235531
1950 0.399423 0.434800 0.252245 0.758336 0.375534 0.200352
