n, rho12, rho13, rho14 rho23, rho24, rho34
4 0.023982 0.057309 0.536185 0.261885 0.313555 0.144560
5 -0.012381 0.042767 0.533658 0.312480 0.320759 0.151601
7 -0.059453 0.022519 0.536270 0.405389 0.333705 0.169622
9 -0.083036 0.011108 0.543575 0.479658 0.343109 0.187413
11 -0.090161 0.008166 0.553445 0.539746 0.352068 0.205310
13 -0.083176 0.014652 0.565010 0.587083 0.362519 0.224102
16 -0.049605 0.042484 0.584786 0.637769 0.383899 0.256606
20 0.029772 0.109314 0.615815 0.683981 0.427022 0.311917
23 0.104834 0.174707 0.642705 0.712521 0.467717 0.360456
28 0.225136 0.283669 0.689698 0.753131 0.532903 0.437756
33 0.319206 0.370372 0.733831 0.785277 0.582971 0.498945
38 0.398308 0.442995 0.775192 0.809522 0.623660 0.549379
45 0.486575 0.525149 0.823720 0.834183 0.667793 0.605393
52 0.546862 0.581793 0.858931 0.851595 0.697516 0.645005
60 0.595461 0.627783 0.887591 0.865500 0.721208 0.677757
69 0.631624 0.662416 0.909222 0.876071 0.738843 0.703361
79 0.658490 0.688460 0.925143 0.883615 0.752104 0.723181
91 0.679327 0.708884 0.937256 0.888858 0.762656 0.739223
104 0.693557 0.722615 0.945282 0.891413 0.770006 0.750244
119 0.703285 0.731095 0.950761 0.891516 0.774791 0.756901
135 0.708224 0.733811 0.953927 0.889055 0.776521 0.758442
154 0.709062 0.730934 0.955469 0.883527 0.775266 0.754671
174 0.706959 0.723803 0.955655 0.875740 0.771940 0.746779
198 0.704959 0.714876 0.955374 0.865610 0.768388 0.736708
223 0.707163 0.710228 0.955696 0.856132 0.767936 0.730301
252 0.715653 0.712316 0.957305 0.847523 0.771968 0.729705
285 0.728893 0.719560 0.959816 0.839950 0.779551 0.733783
321 0.742811 0.727165 0.962196 0.832632 0.788022 0.738615
362 0.756845 0.734536 0.964219 0.824968 0.797105 0.743699
407 0.770330 0.741880 0.965820 0.817593 0.806377 0.749341
457 0.781285 0.747044 0.966664 0.809559 0.814225 0.753729
513 0.788528 0.748713 0.966584 0.799943 0.819606 0.755794
575 0.791934 0.746236 0.965550 0.788158 0.822133 0.754833
645 0.790311 0.737741 0.963182 0.772257 0.820401 0.749129
723 0.781899 0.721195 0.958964 0.749952 0.812926 0.736987
809 0.765448 0.693989 0.952280 0.719126 0.798950 0.716548
905 0.741879 0.655513 0.942875 0.679617 0.779006 0.687554
1011 0.716029 0.610359 0.931626 0.636390 0.756958 0.654375
1130 0.693065 0.565617 0.920181 0.597045 0.737165 0.624550
1261 0.673819 0.524470 0.909712 0.566276 0.719991 0.601233
1407 0.653868 0.482429 0.899510 0.539660 0.701286 0.579086
1570 0.632235 0.439557 0.889922 0.510135 0.679749 0.555059
1750 0.611504 0.404017 0.882387 0.478420 0.658331 0.533329
1950 0.589140 0.376205 0.876975 0.442666 0.635372 0.511242
