n, rho12, rho13, rho14 rho23, rho24, rho34
4 0.261885 0.313555 0.023982 0.144560 0.057309 0.536185
5 0.312480 0.320759 -0.012381 0.151601 0.042767 0.533658
7 0.405389 0.333705 -0.059453 0.169622 0.022519 0.536270
9 0.479658 0.343109 -0.083036 0.187413 0.011108 0.543575
11 0.539746 0.352068 -0.090161 0.205310 0.008166 0.553445
13 0.587083 0.362519 -0.083176 0.224102 0.014652 0.565010
16 0.637769 0.383899 -0.049605 0.256606 0.042484 0.584786
20 0.683981 0.427022 0.029772 0.311917 0.109314 0.615815
23 0.712521 0.467717 0.104834 0.360456 0.174707 0.642705
28 0.753131 0.532903 0.225136 0.437756 0.283669 0.689698
33 0.785277 0.582971 0.319206 0.498945 0.370372 0.733831
38 0.809522 0.623660 0.398308 0.549379 0.442995 0.775192
45 0.834183 0.667793 0.486575 0.605393 0.525149 0.823720
52 0.851595 0.697516 0.546862 0.645005 0.581793 0.858931
60 0.865500 0.721208 0.595461 0.677757 0.627783 0.887591
69 0.876071 0.738843 0.631624 0.703361 0.662416 0.909222
79 0.883615 0.752104 0.658490 0.723181 0.688460 0.925143
91 0.888858 0.762656 0.679327 0.739223 0.708884 0.937256
104 0.891413 0.770006 0.693557 0.750244 0.722615 0.945282
119 0.891516 0.774791 0.703285 0.756901 0.731095 0.950761
135 0.889055 0.776521 0.708224 0.758442 0.733811 0.953927
154 0.883527 0.775266 0.709062 0.754671 0.730934 0.955469
174 0.875740 0.771940 0.706959 0.746779 0.723803 0.955655
198 0.865610 0.768388 0.704959 0.736708 0.714876 0.955374
223 0.856132 0.767936 0.707163 0.730301 0.710228 0.955696
252 0.847523 0.771968 0.715653 0.729705 0.712316 0.957305
285 0.839950 0.779551 0.728893 0.733783 0.719560 0.959816
321 0.832632 0.788022 0.742811 0.738615 0.727165 0.962196
362 0.824968 0.797105 0.756845 0.743699 0.734536 0.964219
407 0.817593 0.806377 0.770330 0.749341 0.741880 0.965820
457 0.809559 0.814225 0.781285 0.753729 0.747044 0.966664
513 0.799943 0.819606 0.788528 0.755794 0.748713 0.966584
575 0.788158 0.822133 0.791934 0.754833 0.746236 0.965550
645 0.772257 0.820401 0.790311 0.749129 0.737741 0.963182
723 0.749952 0.812926 0.781899 0.736987 0.721195 0.958964
809 0.719126 0.798950 0.765448 0.716548 0.693989 0.952280
905 0.679617 0.779006 0.741879 0.687554 0.655513 0.942875
1011 0.636390 0.756958 0.716029 0.654375 0.610359 0.931626
1130 0.597045 0.737165 0.693065 0.624550 0.565617 0.920181
1261 0.566276 0.719991 0.673819 0.601233 0.524470 0.909712
1407 0.539660 0.701286 0.653868 0.579086 0.482429 0.899510
1570 0.510135 0.679749 0.632235 0.555059 0.439557 0.889922
1750 0.478420 0.658331 0.611504 0.533329 0.404017 0.882387
1950 0.442666 0.635372 0.589140 0.511242 0.376205 0.876975
