n, rho12, rho13, rho14 rho23, rho24, rho34
4 0.776711 0.719045 0.617022 0.548826 0.581026 0.797293
5 0.796317 0.721376 0.624703 0.550898 0.585167 0.803538
7 0.826603 0.723089 0.638668 0.553590 0.589152 0.822596
9 0.847294 0.720723 0.647515 0.552033 0.587124 0.840783
11 0.861038 0.715687 0.651464 0.546935 0.581376 0.855042
13 0.870468 0.709669 0.652603 0.540162 0.574240 0.865643
16 0.880300 0.700637 0.651940 0.529423 0.563379 0.876563
20 0.889377 0.688859 0.648343 0.515250 0.549425 0.885286
23 0.894529 0.679907 0.643844 0.504716 0.539176 0.888783
28 0.901207 0.665300 0.634652 0.488406 0.523467 0.891381
33 0.906171 0.652169 0.625368 0.474758 0.510452 0.892260
38 0.909882 0.641223 0.617199 0.464312 0.500363 0.893057
45 0.913443 0.629526 0.607989 0.454145 0.489913 0.894979
52 0.915429 0.620777 0.600652 0.447080 0.481967 0.897298
60 0.916306 0.612947 0.593803 0.441312 0.475056 0.899582
69 0.916111 0.606518 0.588113 0.437392 0.469942 0.901758
79 0.914972 0.602291 0.584341 0.436170 0.467440 0.903889
91 0.912689 0.600941 0.582995 0.438659 0.468376 0.906225
104 0.909325 0.603278 0.585091 0.444830 0.473172 0.908676
119 0.904603 0.609502 0.590730 0.454301 0.481573 0.911222
135 0.898908 0.619116 0.599157 0.465792 0.492330 0.913599
154 0.891804 0.632857 0.610695 0.480234 0.506041 0.915895
174 0.884301 0.648454 0.623207 0.495400 0.520191 0.917766
198 0.875384 0.666758 0.637326 0.512099 0.535332 0.919388
223 0.866273 0.684087 0.650247 0.526843 0.548540 0.920448
252 0.855996 0.701675 0.663137 0.540539 0.561310 0.920973
285 0.844468 0.718996 0.675893 0.552725 0.573865 0.920644
321 0.831574 0.734737 0.687569 0.561732 0.584849 0.918958
362 0.816013 0.748037 0.697318 0.565176 0.592241 0.915345
407 0.797634 0.757187 0.703936 0.560412 0.593846 0.909481
457 0.775918 0.762465 0.707689 0.547011 0.589666 0.900969
513 0.750947 0.764376 0.709111 0.524838 0.579870 0.889531
575 0.723281 0.763881 0.709571 0.494883 0.565237 0.875955
645 0.692784 0.762641 0.710714 0.459665 0.547575 0.861609
723 0.661855 0.762887 0.714076 0.425657 0.530847 0.848732
809 0.633603 0.765142 0.719824 0.397568 0.517316 0.838260
905 0.607904 0.768094 0.726428 0.373861 0.504641 0.829171
1011 0.582066 0.770253 0.731971 0.352933 0.490104 0.820682
1130 0.555740 0.772094 0.736875 0.337494 0.476114 0.812484
1261 0.530909 0.773594 0.742046 0.329008 0.465473 0.805340
1407 0.505727 0.775073 0.748382 0.324143 0.455757 0.800052
1570 0.475903 0.775135 0.754009 0.316925 0.443338 0.796100
1750 0.445241 0.775603 0.756639 0.309736 0.429165 0.792256
1950 0.413857 0.776611 0.754882 0.301326 0.409462 0.786948
