n col_12 col_13 col_14 col_23 col_24 col_34
4 0.436779 0.343500 0.698376 0.523470 0.535242 0.340161
5 0.386449 0.312917 0.626545 0.531252 0.492518 0.303360
7 0.313183 0.272146 0.525442 0.568962 0.438832 0.259621
9 0.297832 0.273749 0.491869 0.631890 0.427505 0.259103
11 0.314271 0.297844 0.492292 0.694850 0.433992 0.276344
13 0.346886 0.332622 0.510549 0.746599 0.449202 0.300677
16 0.407396 0.391280 0.553280 0.801892 0.479910 0.341737
20 0.487299 0.465539 0.614264 0.847681 0.522949 0.394201
23 0.540189 0.513760 0.656448 0.870271 0.552283 0.428794
28 0.608144 0.575523 0.713734 0.895923 0.590802 0.474207
33 0.652643 0.616075 0.753536 0.912757 0.616402 0.505194
38 0.682960 0.643131 0.782592 0.924198 0.633706 0.526494
45 0.711145 0.667180 0.812943 0.934571 0.649389 0.546043
52 0.727899 0.680530 0.833783 0.940919 0.658175 0.557275
60 0.739158 0.688383 0.850374 0.945307 0.663808 0.564425
69 0.746150 0.691943 0.863653 0.948075 0.667631 0.568790
79 0.750184 0.692459 0.874521 0.949542 0.671105 0.571905
91 0.752651 0.690929 0.884543 0.949959 0.676028 0.575588
104 0.754150 0.688257 0.893247 0.949431 0.682995 0.580581
119 0.755483 0.684892 0.901481 0.948066 0.692712 0.587435
135 0.757149 0.681654 0.908704 0.946029 0.704086 0.595269
154 0.759839 0.678872 0.915631 0.943152 0.717879 0.604670
174 0.763596 0.677502 0.921324 0.939873 0.732009 0.614454
198 0.769262 0.678004 0.926353 0.935785 0.747971 0.625896
223 0.776504 0.681197 0.929920 0.931487 0.763673 0.637990
252 0.786484 0.688387 0.932552 0.926687 0.781195 0.653040
285 0.799085 0.700148 0.934332 0.921762 0.800168 0.671334
321 0.812752 0.714986 0.935382 0.917111 0.818717 0.690951
362 0.826441 0.731453 0.935795 0.912518 0.836015 0.710542
407 0.838327 0.747025 0.935492 0.908098 0.850336 0.727628
457 0.848363 0.761256 0.934489 0.903767 0.862239 0.742351
513 0.856927 0.774596 0.932804 0.899642 0.872612 0.755590
575 0.863776 0.786751 0.930483 0.895883 0.881581 0.767277
645 0.868387 0.797009 0.927459 0.892335 0.889045 0.776996
723 0.870397 0.804478 0.923781 0.888705 0.894768 0.784032
809 0.870185 0.809311 0.919652 0.884963 0.898726 0.788346
905 0.868607 0.811925 0.915127 0.880721 0.901244 0.789841
1011 0.866536 0.812590 0.910334 0.875823 0.902955 0.788897
1130 0.864212 0.811291 0.905326 0.869985 0.904203 0.785456
1261 0.862161 0.808855 0.900508 0.863483 0.905353 0.779991
1407 0.860738 0.806146 0.896215 0.856758 0.906392 0.772559
1570 0.860384 0.803576 0.892838 0.850099 0.907416 0.763748
1750 0.861391 0.801488 0.890755 0.843473 0.908488 0.754493
1950 0.863852 0.800092 0.890389 0.836878 0.909681 0.745647
