n col_12 col_13 col_14 col_23 col_24 col_34
4 0.522575 0.505146 0.736635 0.783218 0.675082 0.525406
5 0.501967 0.474203 0.713532 0.786491 0.652417 0.486235
7 0.482411 0.441541 0.687556 0.803035 0.626832 0.445085
9 0.479752 0.433784 0.678012 0.822025 0.614624 0.431421
11 0.483333 0.434977 0.674605 0.838065 0.606736 0.426307
13 0.490392 0.440598 0.674212 0.851123 0.601605 0.425748
16 0.504475 0.452910 0.676046 0.866185 0.598237 0.430181
20 0.524400 0.470218 0.678856 0.879993 0.599111 0.440163
23 0.537399 0.481591 0.680022 0.887011 0.601811 0.448349
28 0.553507 0.496020 0.680387 0.894405 0.607624 0.460836
33 0.564014 0.505228 0.680531 0.898216 0.613650 0.470449
38 0.570690 0.510272 0.681519 0.899726 0.619012 0.476767
45 0.575692 0.512337 0.683743 0.899427 0.624636 0.480761
52 0.577550 0.510761 0.685889 0.897404 0.628050 0.480584
60 0.577501 0.506409 0.687740 0.893786 0.629737 0.476862
69 0.575890 0.499703 0.688741 0.888614 0.629483 0.469687
79 0.573181 0.491361 0.688347 0.882068 0.627589 0.459832
91 0.569626 0.481569 0.686355 0.873778 0.624299 0.447366
104 0.566099 0.472304 0.682974 0.864756 0.620073 0.434095
119 0.562795 0.463969 0.677935 0.854926 0.614441 0.419642
135 0.560209 0.458249 0.671602 0.845691 0.607796 0.405979
154 0.557870 0.455147 0.663148 0.836379 0.599537 0.392490
174 0.555680 0.454777 0.653478 0.827915 0.590983 0.381058
198 0.552560 0.455407 0.641076 0.818180 0.581185 0.369083
223 0.548352 0.454422 0.627826 0.807218 0.571320 0.355992
252 0.543141 0.450124 0.613538 0.793173 0.561021 0.339619
285 0.538718 0.442989 0.600351 0.776602 0.552039 0.321777
321 0.535972 0.434936 0.589524 0.759541 0.545719 0.305963
362 0.534375 0.426969 0.579536 0.742423 0.542218 0.293622
407 0.534050 0.420083 0.569247 0.726222 0.542022 0.285740
457 0.535256 0.414521 0.557408 0.710795 0.544805 0.281562
513 0.537328 0.410259 0.543162 0.696358 0.549944 0.280291
575 0.538948 0.406577 0.526432 0.683150 0.556474 0.280922
645 0.539554 0.402741 0.508111 0.670607 0.564310 0.282899
723 0.538743 0.398415 0.490757 0.658660 0.573030 0.284979
809 0.536161 0.393809 0.476071 0.647391 0.581542 0.285414
905 0.532017 0.391146 0.464420 0.637796 0.588934 0.283804
1011 0.526400 0.391928 0.455077 0.630273 0.594322 0.280073
1130 0.519318 0.395136 0.446583 0.622747 0.597187 0.272650
1261 0.510550 0.397800 0.438745 0.612865 0.597479 0.259467
1407 0.502148 0.401561 0.432504 0.599375 0.596258 0.240697
1570 0.496621 0.407411 0.428348 0.579229 0.594704 0.215494
1750 0.494197 0.413216 0.428810 0.551423 0.593651 0.185948
1950 0.493437 0.416530 0.434417 0.518330 0.592451 0.155287
