n, rho12, rho13, rho14 rho23, rho24, rho34
4 0.757484 0.693354 0.550302 0.535744 0.527359 0.753857
5 0.765990 0.677378 0.535641 0.508532 0.501423 0.736147
7 0.788066 0.658730 0.521757 0.479862 0.472242 0.716966
9 0.809637 0.649123 0.520795 0.470058 0.463333 0.711284
11 0.827137 0.642306 0.524416 0.465799 0.462048 0.710696
13 0.841094 0.637380 0.529903 0.464695 0.464670 0.712442
16 0.856972 0.633101 0.539357 0.466778 0.472077 0.716466
20 0.871478 0.631295 0.551525 0.471961 0.482476 0.721153
23 0.879099 0.631473 0.559215 0.476083 0.488878 0.723470
28 0.887740 0.633157 0.569228 0.482279 0.496649 0.725591
33 0.892957 0.635570 0.576595 0.486968 0.501425 0.726882
38 0.895945 0.637813 0.581734 0.489787 0.503561 0.727890
45 0.897744 0.639683 0.585576 0.490656 0.502783 0.728865
52 0.897799 0.640000 0.586377 0.488863 0.499015 0.729240
60 0.896584 0.639018 0.584800 0.484887 0.492785 0.728992
69 0.894407 0.636904 0.581227 0.479355 0.485090 0.727894
79 0.891789 0.634089 0.576632 0.473097 0.477070 0.725788
91 0.888333 0.630524 0.571373 0.465612 0.468616 0.722440
104 0.884313 0.626029 0.565780 0.457443 0.460656 0.718048
119 0.879917 0.620190 0.559369 0.448833 0.453020 0.712525
135 0.875816 0.614356 0.553213 0.441918 0.446902 0.707190
154 0.871678 0.609327 0.547540 0.437562 0.442411 0.702460
174 0.867836 0.606748 0.543788 0.437033 0.440501 0.699535
198 0.863490 0.606837 0.541798 0.440388 0.440813 0.698274
223 0.859030 0.609544 0.541989 0.446411 0.442778 0.698896
252 0.853676 0.614194 0.543893 0.453686 0.445414 0.700721
285 0.847440 0.619404 0.547072 0.460153 0.448181 0.702498
321 0.840877 0.624054 0.551339 0.465195 0.451709 0.702722
362 0.833903 0.628256 0.556949 0.469519 0.457068 0.700122
407 0.826976 0.631622 0.563056 0.472680 0.463602 0.694281
457 0.820319 0.634156 0.569292 0.474832 0.470796 0.685161
513 0.814538 0.635821 0.575299 0.477081 0.479257 0.673028
575 0.810199 0.636919 0.580165 0.480503 0.488946 0.659056
645 0.807660 0.637944 0.583323 0.485943 0.498992 0.644855
723 0.807381 0.639017 0.584218 0.493439 0.507345 0.632366
809 0.808844 0.639808 0.582493 0.502441 0.512771 0.623082
905 0.811618 0.640539 0.577752 0.512543 0.515345 0.617445
1011 0.815659 0.639656 0.569375 0.521719 0.515575 0.616162
1130 0.820169 0.635047 0.556852 0.527792 0.514465 0.620397
1261 0.824986 0.626758 0.542780 0.531244 0.513252 0.630734
1407 0.830266 0.613156 0.527622 0.530511 0.510399 0.644470
1570 0.834099 0.592478 0.512008 0.521140 0.503066 0.658561
1750 0.833853 0.561683 0.493564 0.496692 0.485814 0.670145
1950 0.830037 0.520876 0.472921 0.457245 0.459496 0.679444
