n, rho12, rho13, rho14 rho23, rho24, rho34
4 0.753857 0.693354 0.535744 0.550302 0.527359 0.757484
5 0.736147 0.677378 0.508532 0.535641 0.501423 0.765990
7 0.716966 0.658730 0.479862 0.521757 0.472242 0.788066
9 0.711284 0.649123 0.470058 0.520795 0.463333 0.809637
11 0.710696 0.642306 0.465799 0.524416 0.462048 0.827137
13 0.712442 0.637380 0.464695 0.529903 0.464670 0.841094
16 0.716466 0.633101 0.466778 0.539357 0.472077 0.856972
20 0.721153 0.631295 0.471961 0.551525 0.482476 0.871478
23 0.723470 0.631473 0.476083 0.559215 0.488878 0.879099
28 0.725591 0.633157 0.482279 0.569228 0.496649 0.887740
33 0.726882 0.635570 0.486968 0.576595 0.501425 0.892957
38 0.727890 0.637813 0.489787 0.581734 0.503561 0.895945
45 0.728865 0.639683 0.490656 0.585576 0.502783 0.897744
52 0.729240 0.640000 0.488863 0.586377 0.499015 0.897799
60 0.728992 0.639018 0.484887 0.584800 0.492785 0.896584
69 0.727894 0.636904 0.479355 0.581227 0.485090 0.894407
79 0.725788 0.634089 0.473097 0.576632 0.477070 0.891789
91 0.722440 0.630524 0.465612 0.571373 0.468616 0.888333
104 0.718048 0.626029 0.457443 0.565780 0.460656 0.884313
119 0.712525 0.620190 0.448833 0.559369 0.453020 0.879917
135 0.707190 0.614356 0.441918 0.553213 0.446902 0.875816
154 0.702460 0.609327 0.437562 0.547540 0.442411 0.871678
174 0.699535 0.606748 0.437033 0.543788 0.440501 0.867836
198 0.698274 0.606837 0.440388 0.541798 0.440813 0.863490
223 0.698896 0.609544 0.446411 0.541989 0.442778 0.859030
252 0.700721 0.614194 0.453686 0.543893 0.445414 0.853676
285 0.702498 0.619404 0.460153 0.547072 0.448181 0.847440
321 0.702722 0.624054 0.465195 0.551339 0.451709 0.840877
362 0.700122 0.628256 0.469519 0.556949 0.457068 0.833903
407 0.694281 0.631622 0.472680 0.563056 0.463602 0.826976
457 0.685161 0.634156 0.474832 0.569292 0.470796 0.820319
513 0.673028 0.635821 0.477081 0.575299 0.479257 0.814538
575 0.659056 0.636919 0.480503 0.580165 0.488946 0.810199
645 0.644855 0.637944 0.485943 0.583323 0.498992 0.807660
723 0.632366 0.639017 0.493439 0.584218 0.507345 0.807381
809 0.623082 0.639808 0.502441 0.582493 0.512771 0.808844
905 0.617445 0.640539 0.512543 0.577752 0.515345 0.811618
1011 0.616162 0.639656 0.521719 0.569375 0.515575 0.815659
1130 0.620397 0.635047 0.527792 0.556852 0.514465 0.820169
1261 0.630734 0.626758 0.531244 0.542780 0.513252 0.824986
1407 0.644470 0.613156 0.530511 0.527622 0.510399 0.830266
1570 0.658561 0.592478 0.521140 0.512008 0.503066 0.834099
1750 0.670145 0.561683 0.496692 0.493564 0.485814 0.833853
1950 0.679444 0.520876 0.457245 0.472921 0.459496 0.830037
