n col_12 col_13 col_14 col_23 col_24 col_34
4 0.025447 0.081659 0.475176 0.226589 0.265857 0.158132
5 -0.000961 0.070134 0.463745 0.275841 0.279306 0.163374
7 -0.036557 0.056347 0.455368 0.371177 0.301991 0.176992
9 -0.055330 0.050751 0.456263 0.456424 0.319553 0.191571
11 -0.061155 0.052423 0.462213 0.534853 0.336412 0.208542
13 -0.054881 0.061228 0.471930 0.599434 0.352230 0.227908
16 -0.024313 0.087495 0.492892 0.667084 0.377068 0.262660
20 0.047902 0.145065 0.531292 0.727518 0.420666 0.322454
23 0.115370 0.200950 0.565209 0.764474 0.459972 0.373968
28 0.222388 0.295661 0.621204 0.814703 0.519867 0.453537
33 0.305949 0.373061 0.671865 0.851830 0.564212 0.515303
38 0.378913 0.440926 0.721736 0.878257 0.600917 0.566956
45 0.463908 0.521391 0.782340 0.903365 0.642002 0.624245
52 0.523451 0.578592 0.826932 0.919467 0.670477 0.664194
60 0.573493 0.627027 0.864800 0.931108 0.694250 0.697024
69 0.611398 0.664322 0.893503 0.939162 0.712660 0.722386
79 0.640360 0.693319 0.914966 0.944463 0.727016 0.741965
91 0.663534 0.716928 0.931530 0.947901 0.738809 0.757882
104 0.680283 0.734101 0.942803 0.949541 0.747522 0.769290
119 0.693082 0.747058 0.950840 0.949895 0.754318 0.777630
135 0.701554 0.755467 0.955942 0.949178 0.758937 0.782751
154 0.707000 0.760780 0.959310 0.947423 0.761925 0.785498
174 0.710146 0.763740 0.961217 0.945009 0.763606 0.786435
198 0.714470 0.767742 0.962779 0.942032 0.766208 0.788107
223 0.722487 0.775396 0.964519 0.939501 0.771643 0.793060
252 0.736161 0.788714 0.966926 0.937655 0.781389 0.802978
285 0.753705 0.805794 0.969649 0.936660 0.794203 0.816320
321 0.770744 0.822332 0.972011 0.936143 0.806831 0.829430
362 0.785992 0.837344 0.973941 0.935743 0.818305 0.841454
407 0.798734 0.850247 0.975450 0.935315 0.828066 0.851896
457 0.808663 0.860520 0.976512 0.934414 0.835693 0.860039
513 0.815070 0.867328 0.976979 0.932520 0.840491 0.864921
575 0.817615 0.870332 0.976722 0.929441 0.842180 0.866209
645 0.815507 0.868936 0.975539 0.924865 0.840091 0.863251
723 0.808008 0.862624 0.973234 0.918790 0.833782 0.855724
809 0.794896 0.850951 0.969649 0.911585 0.823323 0.843614
905 0.777523 0.834501 0.964744 0.904101 0.809806 0.827665
1011 0.759261 0.815556 0.959017 0.897858 0.795619 0.810007
1130 0.742289 0.795463 0.952952 0.893759 0.782478 0.792279
1261 0.726285 0.774470 0.946768 0.891232 0.770257 0.774550
1407 0.707359 0.749370 0.939929 0.888141 0.755990 0.752933
1570 0.683472 0.718633 0.932486 0.883382 0.739130 0.726593
1750 0.658944 0.687617 0.925548 0.877730 0.722240 0.700188
1950 0.635943 0.660144 0.919269 0.871984 0.706559 0.676682
