n, rho12, rho13, rho14 rho23, rho24, rho34
4 0.505498 0.771668 0.628891 0.402055 0.405252 0.770898
5 0.556761 0.779856 0.640503 0.433311 0.442126 0.764773
7 0.630624 0.790065 0.652756 0.475792 0.491853 0.757839
9 0.679340 0.796078 0.657782 0.501573 0.522553 0.755120
11 0.715328 0.800808 0.662080 0.521715 0.547234 0.757174
13 0.740565 0.806022 0.668815 0.538082 0.567505 0.764347
16 0.763662 0.815782 0.683319 0.557737 0.590857 0.782320
20 0.780978 0.827060 0.700639 0.574617 0.609221 0.807912
23 0.789095 0.830246 0.706545 0.577864 0.612575 0.821124
28 0.798446 0.828049 0.707021 0.571270 0.605699 0.832393
33 0.807021 0.823867 0.706057 0.562575 0.596174 0.839863
38 0.815819 0.819469 0.705951 0.556022 0.588710 0.846463
45 0.827659 0.812769 0.705929 0.549973 0.581522 0.853976
52 0.838058 0.806313 0.706308 0.546718 0.577424 0.860411
60 0.848046 0.799528 0.706989 0.545255 0.575479 0.866345
69 0.857167 0.793365 0.708630 0.546060 0.576178 0.872128
79 0.864930 0.788235 0.711132 0.548416 0.578853 0.877617
91 0.871356 0.783978 0.714315 0.551785 0.582993 0.882966
104 0.875467 0.781435 0.717833 0.555601 0.587712 0.887457
119 0.877547 0.780659 0.721846 0.560179 0.592979 0.891303
135 0.877732 0.781563 0.725620 0.565191 0.597774 0.894227
154 0.876269 0.783751 0.728680 0.570874 0.601617 0.896369
174 0.873505 0.786142 0.729755 0.576195 0.603456 0.897102
198 0.869271 0.788717 0.729229 0.582133 0.603926 0.896637
223 0.864587 0.791040 0.728054 0.588371 0.603714 0.895505
252 0.859331 0.793099 0.726945 0.595327 0.603374 0.893964
285 0.853672 0.794337 0.726242 0.602049 0.602958 0.892264
321 0.847614 0.794240 0.725725 0.607124 0.601569 0.890723
362 0.840624 0.792158 0.724621 0.609681 0.597839 0.889222
407 0.833449 0.787999 0.723085 0.609824 0.591971 0.887847
457 0.826792 0.782223 0.721679 0.608801 0.585254 0.886572
513 0.821146 0.775728 0.720765 0.608396 0.579688 0.885123
575 0.816612 0.769661 0.721281 0.609364 0.577355 0.883719
645 0.813581 0.764272 0.723491 0.612312 0.579293 0.882627
723 0.813667 0.759938 0.727168 0.619340 0.587269 0.881694
809 0.816893 0.755978 0.730433 0.630224 0.599467 0.880115
905 0.821595 0.753060 0.733028 0.643641 0.614283 0.877960
1011 0.827390 0.753139 0.736567 0.659047 0.631448 0.876362
1130 0.833551 0.756513 0.741163 0.674815 0.649943 0.875367
1261 0.838704 0.762644 0.746842 0.688006 0.668030 0.875031
1407 0.842439 0.770309 0.753781 0.697295 0.684832 0.875370
1570 0.844120 0.778409 0.761305 0.702974 0.699269 0.876793
1750 0.843371 0.786754 0.768920 0.707353 0.713213 0.879733
1950 0.840288 0.795311 0.776870 0.710899 0.725377 0.884769
