n col_12 col_13 col_14 col_23 col_24 col_34
4 0.620197 0.519154 0.769633 0.647536 0.773098 0.508049
5 0.627142 0.538793 0.762944 0.681604 0.777066 0.523904
7 0.632362 0.561649 0.756273 0.728068 0.780837 0.543918
9 0.632887 0.572540 0.754569 0.754657 0.781627 0.553103
11 0.634066 0.580817 0.757386 0.772044 0.781694 0.558716
13 0.637871 0.588559 0.764780 0.783167 0.782468 0.563530
16 0.646558 0.598521 0.781158 0.791889 0.785042 0.570278
20 0.654369 0.605055 0.801263 0.795963 0.786144 0.574310
23 0.654200 0.603660 0.810188 0.796403 0.782826 0.571392
28 0.647376 0.594098 0.816732 0.794700 0.772667 0.559706
33 0.639680 0.583461 0.820678 0.792302 0.762349 0.548238
38 0.632790 0.574673 0.824059 0.790132 0.753131 0.539669
45 0.624724 0.565338 0.828871 0.787000 0.742073 0.531851
52 0.617987 0.557954 0.833979 0.782739 0.732444 0.526216
60 0.611865 0.551939 0.840294 0.776734 0.722771 0.521446
69 0.607440 0.549027 0.847994 0.769653 0.713791 0.518844
79 0.605508 0.550648 0.856707 0.762221 0.706226 0.519699
91 0.605996 0.557823 0.866058 0.754143 0.700119 0.525025
104 0.607636 0.569126 0.873782 0.746058 0.695956 0.533971
119 0.608610 0.583416 0.879483 0.736896 0.692350 0.545492
135 0.607359 0.597912 0.882711 0.726724 0.688233 0.556925
154 0.602637 0.612970 0.884018 0.713795 0.682027 0.568031
174 0.594369 0.625903 0.883265 0.699115 0.673675 0.576304
198 0.581302 0.637616 0.880260 0.680417 0.661390 0.581620
223 0.565566 0.646127 0.875267 0.660422 0.646691 0.582647
252 0.546024 0.652111 0.867678 0.637304 0.628422 0.579334
285 0.523689 0.654789 0.857717 0.611669 0.607821 0.571372
321 0.500929 0.654083 0.846450 0.585157 0.587398 0.559691
362 0.478623 0.650807 0.834227 0.557837 0.568094 0.545328
407 0.459124 0.646274 0.822418 0.532054 0.551883 0.530706
457 0.442660 0.641104 0.811646 0.508285 0.538699 0.516864
513 0.428609 0.635281 0.802242 0.486586 0.527903 0.504237
575 0.416164 0.628701 0.794264 0.467151 0.518792 0.493232
645 0.404001 0.621103 0.787187 0.449448 0.510378 0.483721
723 0.391241 0.611143 0.780806 0.433007 0.502192 0.474781
809 0.376928 0.596457 0.774559 0.416949 0.493832 0.464624
905 0.360931 0.576862 0.768671 0.400313 0.485129 0.453094
1011 0.344684 0.554034 0.764631 0.382833 0.476546 0.441918
1130 0.328052 0.528826 0.762728 0.364163 0.467374 0.432109
1261 0.310781 0.504107 0.762939 0.345498 0.456560 0.425031
1407 0.290817 0.481812 0.763954 0.327011 0.442161 0.419977
1570 0.265748 0.462197 0.763553 0.306556 0.422829 0.413501
1750 0.235531 0.446315 0.761112 0.282230 0.400388 0.405938
1950 0.200352 0.434800 0.758336 0.252245 0.375534 0.399423
