n, rho12, rho13, rho14 rho23, rho24, rho34
4 0.754466 0.618762 0.406798 0.401489 0.406831 0.349835
5 0.753017 0.636636 0.424077 0.420759 0.431045 0.394058
7 0.752938 0.666835 0.453484 0.456757 0.466463 0.479298
9 0.750911 0.687390 0.471814 0.480877 0.486145 0.551399
11 0.746570 0.699326 0.480655 0.492405 0.494671 0.607934
13 0.741217 0.705284 0.482994 0.496504 0.496156 0.649527
16 0.733518 0.707321 0.480183 0.498593 0.493291 0.690651
20 0.725408 0.702517 0.471879 0.504517 0.490270 0.724311
23 0.720542 0.694695 0.463799 0.513366 0.490732 0.742859
28 0.712451 0.675178 0.446598 0.532269 0.494098 0.768320
33 0.701989 0.651574 0.427904 0.548278 0.496990 0.790051
38 0.689124 0.629167 0.412584 0.558396 0.499190 0.808400
45 0.670065 0.602735 0.397934 0.568344 0.503463 0.828849
52 0.653151 0.581498 0.388244 0.578034 0.509543 0.844129
60 0.637872 0.563787 0.382041 0.587042 0.515895 0.856656
69 0.626501 0.550895 0.378949 0.594765 0.520726 0.866216
79 0.619519 0.542252 0.377583 0.600610 0.523307 0.872819
91 0.615174 0.536229 0.376784 0.604285 0.523803 0.877046
104 0.612957 0.532447 0.375737 0.606136 0.523161 0.878645
119 0.611972 0.529853 0.374186 0.607191 0.522628 0.878113
135 0.611678 0.527957 0.372531 0.607650 0.522981 0.875920
154 0.612402 0.526592 0.371279 0.608155 0.524585 0.872341
174 0.614144 0.525902 0.371049 0.609358 0.527491 0.868449
198 0.617491 0.526035 0.372171 0.612498 0.532380 0.864353
223 0.621671 0.527049 0.374409 0.617828 0.538696 0.860910
252 0.626248 0.529099 0.377817 0.626036 0.547103 0.857766
285 0.630844 0.532244 0.382197 0.636943 0.557178 0.854862
321 0.635266 0.536010 0.386933 0.649430 0.567557 0.852072
362 0.639996 0.540672 0.392001 0.663105 0.577561 0.848932
407 0.645119 0.546055 0.396749 0.676519 0.586162 0.845105
457 0.650630 0.552182 0.401213 0.688772 0.593370 0.840564
513 0.656039 0.558701 0.405615 0.698993 0.599382 0.835889
575 0.661047 0.565454 0.410013 0.706770 0.604554 0.831277
645 0.666193 0.572742 0.414360 0.712361 0.609194 0.826261
723 0.672191 0.580563 0.418507 0.716366 0.613326 0.820496
809 0.679958 0.590015 0.423474 0.719344 0.616642 0.813721
905 0.689365 0.601841 0.429957 0.721597 0.618584 0.805966
1011 0.698806 0.614698 0.437175 0.723942 0.619149 0.797423
1130 0.706469 0.625903 0.443171 0.726190 0.618142 0.788782
1261 0.711512 0.632900 0.446282 0.728245 0.616183 0.781277
1407 0.714460 0.636467 0.447532 0.730738 0.614798 0.775150
1570 0.714056 0.636514 0.447541 0.732217 0.614773 0.771185
1750 0.709512 0.632141 0.444929 0.730961 0.614933 0.769043
1950 0.702062 0.623064 0.437865 0.726422 0.611525 0.765724
