n, rho12, rho13, rho14 rho23, rho24, rho34
4 0.349835 0.618762 0.401489 0.406798 0.406831 0.754466
5 0.394058 0.636636 0.420759 0.424077 0.431045 0.753017
7 0.479298 0.666835 0.456757 0.453484 0.466463 0.752938
9 0.551399 0.687390 0.480877 0.471814 0.486145 0.750911
11 0.607934 0.699326 0.492405 0.480655 0.494671 0.746570
13 0.649527 0.705284 0.496504 0.482994 0.496156 0.741217
16 0.690651 0.707321 0.498593 0.480183 0.493291 0.733518
20 0.724311 0.702517 0.504517 0.471879 0.490270 0.725408
23 0.742859 0.694695 0.513366 0.463799 0.490732 0.720542
28 0.768320 0.675178 0.532269 0.446598 0.494098 0.712451
33 0.790051 0.651574 0.548278 0.427904 0.496990 0.701989
38 0.808400 0.629167 0.558396 0.412584 0.499190 0.689124
45 0.828849 0.602735 0.568344 0.397934 0.503463 0.670065
52 0.844129 0.581498 0.578034 0.388244 0.509543 0.653151
60 0.856656 0.563787 0.587042 0.382041 0.515895 0.637872
69 0.866216 0.550895 0.594765 0.378949 0.520726 0.626501
79 0.872819 0.542252 0.600610 0.377583 0.523307 0.619519
91 0.877046 0.536229 0.604285 0.376784 0.523803 0.615174
104 0.878645 0.532447 0.606136 0.375737 0.523161 0.612957
119 0.878113 0.529853 0.607191 0.374186 0.522628 0.611972
135 0.875920 0.527957 0.607650 0.372531 0.522981 0.611678
154 0.872341 0.526592 0.608155 0.371279 0.524585 0.612402
174 0.868449 0.525902 0.609358 0.371049 0.527491 0.614144
198 0.864353 0.526035 0.612498 0.372171 0.532380 0.617491
223 0.860910 0.527049 0.617828 0.374409 0.538696 0.621671
252 0.857766 0.529099 0.626036 0.377817 0.547103 0.626248
285 0.854862 0.532244 0.636943 0.382197 0.557178 0.630844
321 0.852072 0.536010 0.649430 0.386933 0.567557 0.635266
362 0.848932 0.540672 0.663105 0.392001 0.577561 0.639996
407 0.845105 0.546055 0.676519 0.396749 0.586162 0.645119
457 0.840564 0.552182 0.688772 0.401213 0.593370 0.650630
513 0.835889 0.558701 0.698993 0.405615 0.599382 0.656039
575 0.831277 0.565454 0.706770 0.410013 0.604554 0.661047
645 0.826261 0.572742 0.712361 0.414360 0.609194 0.666193
723 0.820496 0.580563 0.716366 0.418507 0.613326 0.672191
809 0.813721 0.590015 0.719344 0.423474 0.616642 0.679958
905 0.805966 0.601841 0.721597 0.429957 0.618584 0.689365
1011 0.797423 0.614698 0.723942 0.437175 0.619149 0.698806
1130 0.788782 0.625903 0.726190 0.443171 0.618142 0.706469
1261 0.781277 0.632900 0.728245 0.446282 0.616183 0.711512
1407 0.775150 0.636467 0.730738 0.447532 0.614798 0.714460
1570 0.771185 0.636514 0.732217 0.447541 0.614773 0.714056
1750 0.769043 0.632141 0.730961 0.444929 0.614933 0.709512
1950 0.765724 0.623064 0.726422 0.437865 0.611525 0.702062
