n, rho12, rho13, rho14 rho23, rho24, rho34
4 0.170848 0.202558 0.085302 0.182140 0.126347 0.598680
5 0.213772 0.224930 0.079577 0.193337 0.122990 0.605503
7 0.300750 0.264672 0.076639 0.216724 0.123694 0.620673
9 0.381001 0.297959 0.082884 0.238891 0.131694 0.636384
11 0.455756 0.329510 0.097369 0.262734 0.147254 0.652965
13 0.522392 0.360009 0.119416 0.288938 0.169833 0.670206
16 0.601869 0.403123 0.164204 0.331448 0.214269 0.696382
20 0.679203 0.458573 0.238327 0.392879 0.286905 0.730663
23 0.725581 0.498449 0.296911 0.439204 0.344617 0.755353
28 0.786276 0.553646 0.380940 0.505250 0.428184 0.792446
33 0.828783 0.593843 0.442501 0.555198 0.489961 0.823502
38 0.857682 0.625114 0.490778 0.595254 0.538897 0.849671
45 0.884283 0.657096 0.541137 0.637835 0.590329 0.877796
52 0.901206 0.678904 0.575634 0.668008 0.625544 0.897838
60 0.913720 0.696961 0.604048 0.693623 0.654746 0.914036
69 0.922768 0.711638 0.626943 0.714984 0.678464 0.926664
79 0.929084 0.724120 0.646029 0.733241 0.698641 0.936384
91 0.933617 0.736071 0.663756 0.750608 0.717884 0.944400
104 0.936379 0.747007 0.679361 0.766191 0.735226 0.950404
119 0.937999 0.757878 0.694351 0.781379 0.752203 0.955329
135 0.938657 0.767708 0.707668 0.794997 0.767605 0.959204
154 0.938743 0.777560 0.721061 0.808727 0.783448 0.962757
174 0.938666 0.786924 0.733893 0.821704 0.798634 0.965854
198 0.938894 0.798303 0.749418 0.836685 0.816182 0.969173
223 0.939655 0.810785 0.766248 0.851876 0.833895 0.972294
252 0.940975 0.825316 0.785538 0.868227 0.852838 0.975364
285 0.942643 0.840495 0.805373 0.884185 0.871142 0.978068
321 0.944370 0.854522 0.823527 0.898007 0.886874 0.980208
362 0.946106 0.867307 0.840046 0.909767 0.900240 0.981900
407 0.947656 0.877739 0.853681 0.918735 0.910477 0.983118
457 0.948869 0.885661 0.864329 0.925149 0.917849 0.983895
513 0.949492 0.891049 0.871940 0.929379 0.922745 0.984233
575 0.949141 0.893448 0.875915 0.931416 0.925169 0.984098
645 0.947408 0.892204 0.875479 0.931037 0.924909 0.983395
723 0.944069 0.886551 0.869633 0.927928 0.921578 0.981996
809 0.939360 0.876515 0.858390 0.922305 0.915417 0.979863
905 0.933671 0.862850 0.842675 0.914998 0.907502 0.977131
1011 0.927513 0.846666 0.823748 0.907271 0.899326 0.974162
1130 0.920897 0.829213 0.802961 0.900678 0.892428 0.971247
1261 0.913320 0.810936 0.780879 0.895504 0.886966 0.968539
1407 0.903610 0.789521 0.755013 0.889809 0.880828 0.965553
1570 0.891130 0.764497 0.724577 0.883235 0.873288 0.962004
1750 0.877165 0.740215 0.694270 0.878709 0.866930 0.958957
1950 0.862964 0.720324 0.668074 0.877695 0.863108 0.957613
