n, rho12, rho13, rho14 rho23, rho24, rho34
4 0.620189 0.740466 0.538127 0.485042 0.496758 0.746870
5 0.649127 0.749031 0.545698 0.503235 0.513904 0.750568
7 0.692431 0.758653 0.547675 0.527312 0.531168 0.750197
9 0.722304 0.762327 0.539339 0.537610 0.533099 0.744527
11 0.742137 0.762624 0.526981 0.538712 0.527114 0.737396
13 0.755080 0.761364 0.515005 0.535205 0.518289 0.730998
16 0.767694 0.759103 0.503214 0.528193 0.506223 0.725243
20 0.779492 0.757753 0.503023 0.521544 0.498553 0.726091
23 0.787514 0.757590 0.513070 0.518719 0.499543 0.731825
28 0.801023 0.756554 0.540129 0.514803 0.508698 0.745350
33 0.813620 0.752887 0.565442 0.509270 0.518184 0.755610
38 0.824194 0.747946 0.581614 0.503556 0.523670 0.759373
45 0.836353 0.742230 0.597343 0.498963 0.529508 0.759580
52 0.846268 0.738363 0.613312 0.497811 0.537395 0.759744
60 0.854907 0.736008 0.629310 0.498885 0.546192 0.760144
69 0.861996 0.735902 0.644617 0.502681 0.555769 0.761456
79 0.867452 0.737374 0.658740 0.508324 0.566136 0.763841
91 0.871824 0.740587 0.671769 0.516599 0.577944 0.767410
104 0.875182 0.744972 0.683154 0.527007 0.590603 0.772171
119 0.878203 0.750096 0.694491 0.539566 0.605260 0.778019
135 0.881041 0.755082 0.705650 0.552598 0.620974 0.784183
154 0.884222 0.760361 0.718445 0.566929 0.639490 0.791229
174 0.887315 0.765288 0.731727 0.580408 0.658460 0.798192
198 0.890429 0.770657 0.747291 0.594161 0.679353 0.806119
223 0.892566 0.775986 0.762681 0.605355 0.697864 0.813893
252 0.893498 0.782824 0.780154 0.615537 0.716633 0.822195
285 0.893291 0.791722 0.799440 0.625357 0.735866 0.830638
321 0.892635 0.802659 0.819094 0.636075 0.755157 0.838751
362 0.891988 0.816017 0.838952 0.648924 0.775261 0.846777
407 0.891645 0.830749 0.857774 0.663175 0.795225 0.854424
457 0.891871 0.845853 0.875490 0.677684 0.814349 0.861803
513 0.892584 0.860019 0.891687 0.690783 0.831401 0.868725
575 0.892967 0.872174 0.905602 0.700926 0.845384 0.874627
645 0.892925 0.882221 0.917419 0.708726 0.856949 0.879513
723 0.892392 0.890107 0.927062 0.714839 0.866554 0.883266
809 0.891516 0.895005 0.933995 0.718507 0.873142 0.885521
905 0.890128 0.897351 0.938699 0.720292 0.877346 0.885963
1011 0.888119 0.897447 0.941451 0.720605 0.879828 0.884584
1130 0.885501 0.895452 0.942301 0.719524 0.880780 0.881530
1261 0.883011 0.891557 0.941492 0.717366 0.880504 0.877242
1407 0.881476 0.887061 0.940242 0.715488 0.880164 0.872855
1570 0.881342 0.883935 0.939822 0.715369 0.880793 0.870222
1750 0.881952 0.882188 0.940311 0.716513 0.881727 0.869763
1950 0.881716 0.879887 0.940630 0.716293 0.881855 0.868894
