n, rho12, rho13, rho14 rho23, rho24, rho34
4 0.829083 0.597366 0.390218 0.484527 0.405996 0.484884
5 0.818458 0.609132 0.396233 0.494937 0.412996 0.519832
7 0.810053 0.633176 0.420060 0.517678 0.434453 0.590888
9 0.812746 0.653879 0.452117 0.540764 0.462814 0.659011
11 0.820963 0.668123 0.480963 0.561123 0.490326 0.716126
13 0.831640 0.676961 0.502520 0.578712 0.513713 0.759263
16 0.848016 0.684933 0.524862 0.600645 0.541359 0.803953
20 0.865610 0.693189 0.546832 0.623568 0.569427 0.841005
23 0.874988 0.699596 0.560656 0.637089 0.586103 0.858142
28 0.885344 0.710063 0.578616 0.654012 0.607111 0.874373
33 0.891464 0.718815 0.590410 0.665245 0.620979 0.881655
38 0.895012 0.725413 0.597771 0.672272 0.629677 0.884155
45 0.897131 0.731204 0.602498 0.676755 0.635922 0.882805
52 0.896457 0.733111 0.601714 0.675599 0.636661 0.877684
60 0.893093 0.731274 0.595819 0.668740 0.632585 0.868957
69 0.887604 0.725997 0.585899 0.656986 0.624661 0.857361
79 0.881031 0.718924 0.574268 0.642816 0.615064 0.843898
91 0.873750 0.711787 0.562600 0.627904 0.605309 0.828265
104 0.867011 0.706876 0.553343 0.615504 0.597406 0.812722
119 0.860645 0.704562 0.545540 0.605978 0.590698 0.796564
135 0.855709 0.705802 0.539885 0.601651 0.585843 0.781653
154 0.852292 0.711105 0.535698 0.603520 0.582528 0.767515
174 0.850579 0.719012 0.532401 0.611070 0.580611 0.755754
198 0.850315 0.729357 0.528688 0.624332 0.579305 0.743863
223 0.850944 0.739411 0.524350 0.638981 0.577888 0.731891
252 0.851139 0.749200 0.518319 0.653152 0.575337 0.716939
285 0.849845 0.757928 0.510757 0.664617 0.571492 0.698666
321 0.847318 0.764971 0.501923 0.673835 0.566533 0.678388
362 0.844225 0.770545 0.491408 0.682916 0.560503 0.655964
407 0.840589 0.774606 0.480572 0.691048 0.554081 0.632590
457 0.835857 0.777731 0.470906 0.697514 0.547932 0.608623
513 0.830338 0.780320 0.464286 0.703353 0.543329 0.585377
575 0.824242 0.782498 0.462847 0.708691 0.541652 0.565237
645 0.816962 0.784303 0.467008 0.712971 0.542880 0.549675
723 0.808306 0.785385 0.475164 0.715675 0.545629 0.539116
809 0.798294 0.785250 0.484117 0.716510 0.547241 0.531448
905 0.788157 0.784482 0.493207 0.716280 0.546643 0.524842
1011 0.779689 0.784086 0.502799 0.715491 0.544116 0.518484
1130 0.772957 0.783739 0.513729 0.712508 0.540237 0.510323
1261 0.768094 0.783351 0.523818 0.707885 0.534849 0.497693
1407 0.764892 0.783012 0.529573 0.703590 0.527649 0.478958
1570 0.762017 0.780735 0.527138 0.697870 0.517324 0.452170
1750 0.758437 0.775072 0.516601 0.689399 0.506193 0.422514
1950 0.755704 0.766148 0.498333 0.679302 0.493804 0.391131
