n, rho12, rho13, rho14 rho23, rho24, rho34
4 0.537781 0.558151 0.763117 0.803930 0.703349 0.590742
5 0.530532 0.550273 0.778740 0.803706 0.698671 0.588300
7 0.519111 0.537894 0.803593 0.814062 0.690661 0.588176
9 0.508982 0.528000 0.822055 0.827989 0.683021 0.589784
11 0.499187 0.519482 0.835488 0.841347 0.675546 0.591056
13 0.490977 0.512721 0.845489 0.853669 0.669109 0.592298
16 0.482522 0.505960 0.856778 0.869719 0.661938 0.594651
20 0.475233 0.500197 0.867958 0.884939 0.654144 0.596691
23 0.470957 0.496793 0.874586 0.891444 0.648034 0.596359
28 0.465962 0.493261 0.883302 0.896333 0.637871 0.593935
33 0.464059 0.492752 0.889564 0.898024 0.629233 0.591262
38 0.464984 0.494625 0.893785 0.898547 0.622842 0.589310
45 0.469620 0.499658 0.896946 0.899128 0.617816 0.588615
52 0.475591 0.505174 0.897629 0.899902 0.615913 0.589359
60 0.481594 0.510105 0.896311 0.900492 0.614942 0.590058
69 0.486232 0.512956 0.893067 0.900759 0.613503 0.589366
79 0.488656 0.512942 0.888006 0.900806 0.610857 0.586772
91 0.488745 0.509893 0.880563 0.900351 0.606461 0.581870
104 0.487152 0.504825 0.871396 0.899327 0.601096 0.575626
119 0.485337 0.498859 0.859971 0.897835 0.595398 0.568658
135 0.484657 0.493648 0.847333 0.896336 0.590409 0.562272
154 0.485562 0.489239 0.832349 0.894958 0.585370 0.555729
174 0.488465 0.486719 0.817050 0.894040 0.580599 0.549718
198 0.495021 0.486949 0.799506 0.893552 0.575762 0.543935
223 0.504241 0.489965 0.781859 0.893273 0.571365 0.539097
252 0.515378 0.494817 0.761343 0.892454 0.565509 0.533290
285 0.527308 0.500838 0.737911 0.890720 0.557973 0.526441
321 0.538583 0.506906 0.712704 0.887979 0.549178 0.518819
362 0.547478 0.511517 0.684108 0.883699 0.537154 0.508643
407 0.551512 0.512552 0.651822 0.877407 0.519527 0.493698
457 0.549931 0.509147 0.614291 0.868454 0.493849 0.472209
513 0.542470 0.500980 0.571753 0.856393 0.457952 0.443047
575 0.530851 0.489461 0.527854 0.842285 0.413767 0.408252
645 0.518970 0.478421 0.486351 0.828033 0.365860 0.371619
723 0.511239 0.472934 0.453512 0.816415 0.321135 0.338510
809 0.508560 0.474915 0.433884 0.808695 0.283975 0.312145
905 0.509501 0.482582 0.425735 0.804486 0.253961 0.290422
1011 0.513145 0.493753 0.424237 0.802368 0.230117 0.271851
1130 0.517503 0.508645 0.427162 0.801293 0.211226 0.257234
1261 0.518847 0.524286 0.434050 0.800547 0.198028 0.248070
1407 0.512238 0.534992 0.442801 0.797713 0.188157 0.240791
1570 0.495744 0.537983 0.449828 0.790443 0.178837 0.231009
1750 0.474436 0.535951 0.454255 0.778231 0.170154 0.218860
1950 0.451670 0.532425 0.454530 0.762331 0.161036 0.205270
