n, rho12, rho13, rho14 rho23, rho24, rho34
4 0.788507 0.687826 1.000000 0.854858 0.788507 0.687826
5 0.798437 0.706412 1.000000 0.873158 0.798437 0.706412
7 0.811061 0.729834 1.000000 0.897320 0.811061 0.729834
9 0.817018 0.741476 1.000000 0.911887 0.817018 0.741476
11 0.818886 0.746326 1.000000 0.921104 0.818886 0.746326
13 0.818608 0.747687 1.000000 0.927376 0.818608 0.747687
16 0.816450 0.746636 1.000000 0.933782 0.816450 0.746636
20 0.812326 0.742584 1.000000 0.939359 0.812326 0.742584
23 0.809003 0.738874 1.000000 0.942392 0.809003 0.738874
28 0.804074 0.733123 1.000000 0.946260 0.804074 0.733123
33 0.800093 0.728219 1.000000 0.948979 0.800093 0.728219
38 0.796407 0.723515 1.000000 0.950678 0.796407 0.723515
45 0.791191 0.716941 1.000000 0.951714 0.791191 0.716941
52 0.786727 0.711494 1.000000 0.951774 0.786727 0.711494
60 0.783956 0.708275 1.000000 0.951299 0.783956 0.708275
69 0.784261 0.708777 1.000000 0.950544 0.784261 0.708777
79 0.787568 0.712695 1.000000 0.949662 0.787568 0.712695
91 0.793487 0.719358 1.000000 0.948536 0.793487 0.719358
104 0.800972 0.727438 1.000000 0.947255 0.800972 0.727438
119 0.810311 0.737390 1.000000 0.945802 0.810311 0.737390
135 0.820376 0.748112 1.000000 0.944311 0.820376 0.748112
154 0.832084 0.760799 1.000000 0.942799 0.832084 0.760799
174 0.844011 0.774284 1.000000 0.941749 0.844011 0.774284
198 0.857768 0.790891 1.000000 0.941338 0.857768 0.790891
223 0.870893 0.807933 1.000000 0.941631 0.870893 0.807933
252 0.883589 0.825743 1.000000 0.942366 0.883589 0.825743
285 0.894513 0.842406 1.000000 0.943118 0.894513 0.842406
321 0.903130 0.856532 1.000000 0.943436 0.903130 0.856532
362 0.910097 0.868616 1.000000 0.943038 0.910097 0.868616
407 0.914868 0.877762 1.000000 0.941688 0.914868 0.877762
457 0.917193 0.883741 1.000000 0.939058 0.917193 0.883741
513 0.916740 0.886260 1.000000 0.934661 0.916740 0.886260
575 0.913688 0.885968 1.000000 0.928250 0.913688 0.885968
645 0.908572 0.884099 1.000000 0.919746 0.908572 0.884099
723 0.902280 0.881818 1.000000 0.909528 0.902280 0.881818
809 0.895329 0.879531 1.000000 0.897752 0.895329 0.879531
905 0.886970 0.876752 1.000000 0.884233 0.886970 0.876752
1011 0.876888 0.872432 1.000000 0.869912 0.876888 0.872432
1130 0.865232 0.865907 1.000000 0.855848 0.865232 0.865907
1261 0.852970 0.857559 1.000000 0.842279 0.852970 0.857559
1407 0.840638 0.847896 1.000000 0.827281 0.840638 0.847896
1570 0.827005 0.837532 1.000000 0.809872 0.827005 0.837532
1750 0.813070 0.829648 1.000000 0.791730 0.813070 0.829648
1950 0.798389 0.824876 1.000000 0.773184 0.798389 0.824876
