n col_12 col_13 col_14 col_23 col_24 col_34
4 0.505111 0.367098 0.747923 0.662780 0.636669 0.366596
5 0.517641 0.404286 0.743162 0.718337 0.642739 0.401594
7 0.548673 0.467839 0.751472 0.799902 0.660029 0.462172
9 0.582459 0.519244 0.770094 0.852122 0.680390 0.511390
11 0.615725 0.562078 0.791378 0.884721 0.701181 0.551831
13 0.646966 0.598292 0.812150 0.905102 0.721256 0.585710
16 0.688924 0.643694 0.840060 0.923794 0.749107 0.628359
20 0.733821 0.690493 0.869958 0.938461 0.779746 0.673100
23 0.758606 0.716039 0.886819 0.945542 0.796747 0.697938
28 0.786206 0.744345 0.906595 0.953426 0.815750 0.726370
33 0.802532 0.761000 0.919661 0.958538 0.827315 0.744510
38 0.812037 0.770589 0.928669 0.961992 0.834290 0.756243
45 0.818457 0.776905 0.936887 0.965037 0.839216 0.765628
52 0.820358 0.778629 0.941860 0.966787 0.840983 0.770119
60 0.819746 0.777785 0.945217 0.967908 0.841081 0.772075
69 0.817391 0.775039 0.947246 0.968556 0.839971 0.772067
79 0.813816 0.770877 0.948170 0.968834 0.837868 0.770394
91 0.809079 0.765278 0.948150 0.968780 0.834759 0.767066
104 0.804149 0.759275 0.947315 0.968368 0.831297 0.762770
119 0.799188 0.752996 0.945815 0.967562 0.827607 0.757689
135 0.795039 0.747422 0.944020 0.966473 0.824219 0.752618
154 0.791864 0.742554 0.942077 0.965064 0.821061 0.747496
174 0.790360 0.739177 0.940373 0.963555 0.818729 0.743147
198 0.789759 0.736020 0.938485 0.961731 0.816634 0.738495
223 0.788843 0.732121 0.936157 0.959800 0.814450 0.733447
252 0.786157 0.725874 0.932642 0.957644 0.811353 0.727023
285 0.781029 0.716815 0.927557 0.955485 0.807162 0.719228
321 0.774075 0.705885 0.921008 0.953527 0.802133 0.710548
362 0.765688 0.693574 0.912896 0.951704 0.795936 0.700704
407 0.756830 0.681037 0.903766 0.950150 0.789258 0.690734
457 0.746994 0.667507 0.893371 0.948584 0.781881 0.680082
513 0.735802 0.652326 0.881401 0.946892 0.773358 0.668171
575 0.723770 0.635979 0.868029 0.945292 0.763863 0.655357
645 0.710984 0.618365 0.852990 0.944066 0.753039 0.641195
723 0.697947 0.600427 0.836899 0.943577 0.741160 0.626227
809 0.684575 0.582721 0.820657 0.943897 0.728428 0.611006
905 0.671834 0.566516 0.805574 0.944881 0.716148 0.596910
1011 0.660874 0.553277 0.793267 0.946352 0.705011 0.584714
1130 0.652279 0.543116 0.784861 0.947872 0.694790 0.573473
1261 0.645929 0.535370 0.781402 0.949040 0.685379 0.562613
1407 0.640786 0.528674 0.783089 0.949556 0.676284 0.551508
1570 0.636705 0.522983 0.789480 0.949393 0.667796 0.540887
1750 0.634388 0.520015 0.798600 0.948905 0.661785 0.534155
1950 0.635820 0.522481 0.808717 0.948591 0.662007 0.536611
