n, rho12, rho13, rho14 rho23, rho24, rho34
4 0.703616 0.687400 0.357476 0.496639 0.394464 0.542339
5 0.699049 0.674198 0.362576 0.502534 0.403631 0.594992
7 0.704891 0.664470 0.394536 0.520296 0.439003 0.689234
9 0.723565 0.669756 0.435653 0.547521 0.483940 0.757533
11 0.746404 0.682448 0.473994 0.579241 0.525398 0.803007
13 0.768574 0.697573 0.507095 0.609710 0.560517 0.833401
16 0.797955 0.720369 0.548360 0.650723 0.603734 0.862794
20 0.829168 0.746630 0.590577 0.695099 0.647045 0.886610
23 0.846953 0.762124 0.614643 0.720362 0.670890 0.898336
28 0.868993 0.780820 0.644115 0.750369 0.698770 0.911462
33 0.884573 0.793287 0.664429 0.770066 0.716838 0.919888
38 0.895755 0.801715 0.678704 0.782920 0.728664 0.925569
45 0.906450 0.809102 0.691865 0.793184 0.738324 0.930576
52 0.913356 0.813321 0.699785 0.798009 0.742911 0.933395
60 0.918404 0.816021 0.704965 0.800104 0.744544 0.935009
69 0.921854 0.817466 0.707745 0.800130 0.743685 0.935600
79 0.924059 0.817920 0.708634 0.798580 0.740878 0.935429
91 0.925564 0.817587 0.708044 0.795695 0.736226 0.934700
104 0.926539 0.816672 0.706307 0.792200 0.730645 0.933626
119 0.927194 0.815129 0.703353 0.788202 0.724112 0.932158
135 0.927482 0.812904 0.699236 0.784088 0.717222 0.930382
154 0.927293 0.809452 0.693168 0.779155 0.708980 0.928064
174 0.926451 0.805054 0.685792 0.773599 0.699984 0.925479
198 0.924560 0.799155 0.676244 0.766082 0.688378 0.922310
223 0.921487 0.792570 0.665904 0.756774 0.674822 0.918971
252 0.916626 0.784469 0.653820 0.743878 0.657118 0.915099
285 0.909924 0.774751 0.640345 0.727071 0.635030 0.910768
321 0.901832 0.763723 0.626194 0.706963 0.609241 0.906280
362 0.892072 0.750874 0.610492 0.682472 0.577781 0.901524
407 0.880821 0.736835 0.593203 0.654313 0.540658 0.896353
457 0.868062 0.722071 0.574189 0.622778 0.497646 0.890120
513 0.854636 0.708075 0.555085 0.590068 0.451276 0.882636
575 0.841962 0.696459 0.537900 0.559258 0.405698 0.874211
645 0.830993 0.687095 0.522329 0.531255 0.362201 0.865136
723 0.822595 0.679044 0.506452 0.506830 0.321186 0.855441
809 0.816345 0.669808 0.487336 0.484338 0.280725 0.844916
905 0.811896 0.658333 0.464546 0.462973 0.240662 0.833734
1011 0.809571 0.646406 0.441059 0.444691 0.204708 0.822963
1130 0.809071 0.635121 0.418507 0.429962 0.174119 0.812813
1261 0.809169 0.624332 0.397909 0.418614 0.149927 0.803470
1407 0.808260 0.614143 0.381101 0.409235 0.133042 0.795792
1570 0.805912 0.604148 0.366845 0.401092 0.122748 0.788426
1750 0.803040 0.594260 0.352579 0.396066 0.119172 0.779874
1950 0.801006 0.587139 0.337500 0.398283 0.123126 0.770708
