n, rho12, rho13, rho14 rho23, rho24, rho34
4 0.317508 0.651564 0.424327 0.367374 0.361724 0.772498
5 0.364544 0.676412 0.453828 0.397490 0.397230 0.778914
7 0.450877 0.714767 0.502389 0.449331 0.451881 0.788357
9 0.519369 0.740473 0.534687 0.485998 0.487929 0.792482
11 0.572471 0.757338 0.553887 0.510595 0.511984 0.793213
13 0.613146 0.768411 0.564910 0.526615 0.527871 0.792557
16 0.655049 0.778388 0.575117 0.539600 0.541307 0.792332
20 0.688613 0.784358 0.587132 0.544527 0.548552 0.796842
23 0.706024 0.784773 0.596227 0.543373 0.550386 0.802942
28 0.727743 0.779131 0.607911 0.535365 0.549467 0.812642
33 0.744097 0.768769 0.612457 0.523742 0.545702 0.817217
38 0.756976 0.758425 0.612891 0.514143 0.542535 0.817659
45 0.771813 0.747512 0.613835 0.507657 0.541727 0.816617
52 0.784309 0.740496 0.617438 0.507464 0.544406 0.816251
60 0.796159 0.736823 0.623945 0.512249 0.549702 0.817358
69 0.806918 0.735892 0.632404 0.520568 0.556686 0.820487
79 0.816219 0.736422 0.641739 0.530647 0.564882 0.825454
91 0.824401 0.737715 0.652016 0.542430 0.575122 0.832190
104 0.830739 0.739637 0.662767 0.554836 0.587135 0.839864
119 0.836102 0.742494 0.675315 0.568996 0.602148 0.848477
135 0.840818 0.745914 0.688993 0.583938 0.619088 0.856851
154 0.846374 0.750278 0.705863 0.601297 0.639858 0.865629
174 0.852530 0.754781 0.723745 0.617892 0.661198 0.873246
198 0.860034 0.759915 0.744484 0.634627 0.684838 0.880358
223 0.867588 0.765339 0.764536 0.648890 0.706655 0.885986
252 0.875641 0.771995 0.785551 0.662272 0.728450 0.890992
285 0.883656 0.779877 0.806932 0.674475 0.749690 0.895479
321 0.891186 0.788526 0.827909 0.685530 0.769965 0.899677
362 0.898632 0.797975 0.848805 0.696455 0.790076 0.903992
407 0.905363 0.807301 0.867550 0.706585 0.808294 0.908205
457 0.911246 0.816036 0.883538 0.715520 0.823924 0.912177
513 0.916416 0.823918 0.896798 0.723186 0.836824 0.915736
575 0.920701 0.830691 0.907240 0.729426 0.846876 0.918688
645 0.924280 0.836710 0.915548 0.734960 0.854887 0.921033
723 0.927440 0.842030 0.922193 0.740392 0.861398 0.922696
809 0.930495 0.846489 0.927534 0.746207 0.867038 0.923639
905 0.933668 0.849764 0.931602 0.752480 0.872114 0.923890
1011 0.936626 0.851271 0.934038 0.758014 0.875899 0.923492
1130 0.938442 0.850772 0.934893 0.760714 0.877409 0.922292
1261 0.938433 0.848659 0.934490 0.759270 0.876227 0.920152
1407 0.937160 0.845813 0.933260 0.755012 0.873234 0.916997
1570 0.935675 0.842794 0.931455 0.750480 0.870027 0.913108
1750 0.934814 0.839771 0.929354 0.746465 0.867455 0.909186
1950 0.934276 0.836938 0.927081 0.742550 0.864893 0.905765
