n, rho12, rho13, rho14 rho23, rho24, rho34
4 0.772498 0.651564 0.367374 0.424327 0.361724 0.317508
5 0.778914 0.676412 0.397490 0.453828 0.397230 0.364544
7 0.788357 0.714767 0.449331 0.502389 0.451881 0.450877
9 0.792482 0.740473 0.485998 0.534687 0.487929 0.519369
11 0.793213 0.757338 0.510595 0.553887 0.511984 0.572471
13 0.792557 0.768411 0.526615 0.564910 0.527871 0.613146
16 0.792332 0.778388 0.539600 0.575117 0.541307 0.655049
20 0.796842 0.784358 0.544527 0.587132 0.548552 0.688613
23 0.802942 0.784773 0.543373 0.596227 0.550386 0.706024
28 0.812642 0.779131 0.535365 0.607911 0.549467 0.727743
33 0.817217 0.768769 0.523742 0.612457 0.545702 0.744097
38 0.817659 0.758425 0.514143 0.612891 0.542535 0.756976
45 0.816617 0.747512 0.507657 0.613835 0.541727 0.771813
52 0.816251 0.740496 0.507464 0.617438 0.544406 0.784309
60 0.817358 0.736823 0.512249 0.623945 0.549702 0.796159
69 0.820487 0.735892 0.520568 0.632404 0.556686 0.806918
79 0.825454 0.736422 0.530647 0.641739 0.564882 0.816219
91 0.832190 0.737715 0.542430 0.652016 0.575122 0.824401
104 0.839864 0.739637 0.554836 0.662767 0.587135 0.830739
119 0.848477 0.742494 0.568996 0.675315 0.602148 0.836102
135 0.856851 0.745914 0.583938 0.688993 0.619088 0.840818
154 0.865629 0.750278 0.601297 0.705863 0.639858 0.846374
174 0.873246 0.754781 0.617892 0.723745 0.661198 0.852530
198 0.880358 0.759915 0.634627 0.744484 0.684838 0.860034
223 0.885986 0.765339 0.648890 0.764536 0.706655 0.867588
252 0.890992 0.771995 0.662272 0.785551 0.728450 0.875641
285 0.895479 0.779877 0.674475 0.806932 0.749690 0.883656
321 0.899677 0.788526 0.685530 0.827909 0.769965 0.891186
362 0.903992 0.797975 0.696455 0.848805 0.790076 0.898632
407 0.908205 0.807301 0.706585 0.867550 0.808294 0.905363
457 0.912177 0.816036 0.715520 0.883538 0.823924 0.911246
513 0.915736 0.823918 0.723186 0.896798 0.836824 0.916416
575 0.918688 0.830691 0.729426 0.907240 0.846876 0.920701
645 0.921033 0.836710 0.734960 0.915548 0.854887 0.924280
723 0.922696 0.842030 0.740392 0.922193 0.861398 0.927440
809 0.923639 0.846489 0.746207 0.927534 0.867038 0.930495
905 0.923890 0.849764 0.752480 0.931602 0.872114 0.933668
1011 0.923492 0.851271 0.758014 0.934038 0.875899 0.936626
1130 0.922292 0.850772 0.760714 0.934893 0.877409 0.938442
1261 0.920152 0.848659 0.759270 0.934490 0.876227 0.938433
1407 0.916997 0.845813 0.755012 0.933260 0.873234 0.937160
1570 0.913108 0.842794 0.750480 0.931455 0.870027 0.935675
1750 0.909186 0.839771 0.746465 0.929354 0.867455 0.934814
1950 0.905765 0.836938 0.742550 0.927081 0.864893 0.934276
