n col_12 col_13 col_14 col_23 col_24 col_34
4 0.106757 0.165580 0.563508 0.220928 0.268606 0.216978
5 0.098186 0.161264 0.564777 0.265562 0.290410 0.224437
7 0.088358 0.162127 0.571842 0.352529 0.327315 0.244237
9 0.087408 0.170516 0.582157 0.426781 0.356250 0.264576
11 0.094609 0.183668 0.594997 0.491619 0.383818 0.284713
13 0.108498 0.200131 0.609589 0.543717 0.408367 0.304672
16 0.139168 0.229194 0.633366 0.596217 0.438921 0.334165
20 0.192402 0.274462 0.667557 0.638420 0.474145 0.373577
23 0.235573 0.310679 0.694527 0.662677 0.498023 0.401452
28 0.297500 0.365335 0.737012 0.696421 0.528230 0.439896
33 0.344196 0.408295 0.773038 0.725230 0.549029 0.469938
38 0.384012 0.445303 0.804654 0.749003 0.565245 0.495876
45 0.427990 0.488063 0.840200 0.774839 0.582176 0.526319
52 0.459563 0.520513 0.866029 0.793714 0.594581 0.550693
60 0.488206 0.551146 0.887862 0.809201 0.606869 0.574829
69 0.514164 0.580068 0.905332 0.821394 0.619942 0.599380
79 0.539360 0.608915 0.919171 0.830564 0.634917 0.625106
91 0.567023 0.640877 0.930743 0.837644 0.653753 0.654291
104 0.595460 0.673204 0.939489 0.842351 0.675040 0.683917
119 0.626868 0.707690 0.946591 0.845770 0.700092 0.715448
135 0.658366 0.740873 0.951948 0.848482 0.726376 0.745816
154 0.692341 0.775040 0.956515 0.851564 0.755637 0.777226
174 0.723766 0.805012 0.960145 0.855273 0.783147 0.804971
198 0.755897 0.833921 0.963629 0.860465 0.811271 0.831930
223 0.783604 0.857480 0.966586 0.866330 0.835302 0.854024
252 0.809534 0.878488 0.969332 0.873042 0.857586 0.873845
285 0.832512 0.896513 0.971669 0.879925 0.877266 0.890964
321 0.851481 0.911194 0.973413 0.886235 0.893576 0.905004
362 0.867333 0.923387 0.974610 0.891934 0.907356 0.916770
407 0.879632 0.932764 0.975195 0.896609 0.918268 0.925933
457 0.888964 0.939855 0.975208 0.900321 0.926826 0.932981
513 0.895393 0.944917 0.974624 0.903085 0.933175 0.938228
575 0.898700 0.948108 0.973333 0.904648 0.937277 0.941822
645 0.898841 0.949603 0.971073 0.904648 0.939284 0.943866
723 0.895508 0.949142 0.967439 0.902464 0.939237 0.944023
809 0.888673 0.946445 0.961945 0.897831 0.937527 0.941981
905 0.878646 0.941423 0.954149 0.891133 0.934748 0.937756
1011 0.866475 0.934433 0.944267 0.883253 0.931746 0.931965
1130 0.853672 0.926167 0.932915 0.875298 0.929427 0.925694
1261 0.842461 0.917689 0.921612 0.868803 0.928427 0.920267
1407 0.833936 0.908794 0.911281 0.864361 0.928758 0.915846
1570 0.827436 0.898624 0.902067 0.860587 0.929722 0.911254
1750 0.822598 0.888532 0.895233 0.856017 0.930497 0.906493
1950 0.820206 0.880733 0.892554 0.850077 0.930796 0.902218
