n col_12 col_13 col_14 col_23 col_24 col_34
4 0.216978 0.165580 0.220928 0.563508 0.268606 0.106757
5 0.224437 0.161264 0.265562 0.564777 0.290410 0.098186
7 0.244237 0.162127 0.352529 0.571842 0.327315 0.088358
9 0.264576 0.170516 0.426781 0.582157 0.356250 0.087408
11 0.284713 0.183668 0.491619 0.594997 0.383818 0.094609
13 0.304672 0.200131 0.543717 0.609589 0.408367 0.108498
16 0.334165 0.229194 0.596217 0.633366 0.438921 0.139168
20 0.373577 0.274462 0.638420 0.667557 0.474145 0.192402
23 0.401452 0.310679 0.662677 0.694527 0.498023 0.235573
28 0.439896 0.365335 0.696421 0.737012 0.528230 0.297500
33 0.469938 0.408295 0.725230 0.773038 0.549029 0.344196
38 0.495876 0.445303 0.749003 0.804654 0.565245 0.384012
45 0.526319 0.488063 0.774839 0.840200 0.582176 0.427990
52 0.550693 0.520513 0.793714 0.866029 0.594581 0.459563
60 0.574829 0.551146 0.809201 0.887862 0.606869 0.488206
69 0.599380 0.580068 0.821394 0.905332 0.619942 0.514164
79 0.625106 0.608915 0.830564 0.919171 0.634917 0.539360
91 0.654291 0.640877 0.837644 0.930743 0.653753 0.567023
104 0.683917 0.673204 0.842351 0.939489 0.675040 0.595460
119 0.715448 0.707690 0.845770 0.946591 0.700092 0.626868
135 0.745816 0.740873 0.848482 0.951948 0.726376 0.658366
154 0.777226 0.775040 0.851564 0.956515 0.755637 0.692341
174 0.804971 0.805012 0.855273 0.960145 0.783147 0.723766
198 0.831930 0.833921 0.860465 0.963629 0.811271 0.755897
223 0.854024 0.857480 0.866330 0.966586 0.835302 0.783604
252 0.873845 0.878488 0.873042 0.969332 0.857586 0.809534
285 0.890964 0.896513 0.879925 0.971669 0.877266 0.832512
321 0.905004 0.911194 0.886235 0.973413 0.893576 0.851481
362 0.916770 0.923387 0.891934 0.974610 0.907356 0.867333
407 0.925933 0.932764 0.896609 0.975195 0.918268 0.879632
457 0.932981 0.939855 0.900321 0.975208 0.926826 0.888964
513 0.938228 0.944917 0.903085 0.974624 0.933175 0.895393
575 0.941822 0.948108 0.904648 0.973333 0.937277 0.898700
645 0.943866 0.949603 0.904648 0.971073 0.939284 0.898841
723 0.944023 0.949142 0.902464 0.967439 0.939237 0.895508
809 0.941981 0.946445 0.897831 0.961945 0.937527 0.888673
905 0.937756 0.941423 0.891133 0.954149 0.934748 0.878646
1011 0.931965 0.934433 0.883253 0.944267 0.931746 0.866475
1130 0.925694 0.926167 0.875298 0.932915 0.929427 0.853672
1261 0.920267 0.917689 0.868803 0.921612 0.928427 0.842461
1407 0.915846 0.908794 0.864361 0.911281 0.928758 0.833936
1570 0.911254 0.898624 0.860587 0.902067 0.929722 0.827436
1750 0.906493 0.888532 0.856017 0.895233 0.930497 0.822598
1950 0.902218 0.880733 0.850077 0.892554 0.930796 0.820206
