n, rho12, rho13, rho14 rho23, rho24, rho34
4 0.563508 0.268606 0.216978 0.106757 0.165580 0.220928
5 0.564777 0.290410 0.224437 0.098186 0.161264 0.265562
7 0.571842 0.327315 0.244237 0.088358 0.162127 0.352529
9 0.582157 0.356250 0.264576 0.087408 0.170516 0.426781
11 0.594997 0.383818 0.284713 0.094609 0.183668 0.491619
13 0.609589 0.408367 0.304672 0.108498 0.200131 0.543717
16 0.633366 0.438921 0.334165 0.139168 0.229194 0.596217
20 0.667557 0.474145 0.373577 0.192402 0.274462 0.638420
23 0.694527 0.498023 0.401452 0.235573 0.310679 0.662677
28 0.737012 0.528230 0.439896 0.297500 0.365335 0.696421
33 0.773038 0.549029 0.469938 0.344196 0.408295 0.725230
38 0.804654 0.565245 0.495876 0.384012 0.445303 0.749003
45 0.840200 0.582176 0.526319 0.427990 0.488063 0.774839
52 0.866029 0.594581 0.550693 0.459563 0.520513 0.793714
60 0.887862 0.606869 0.574829 0.488206 0.551146 0.809201
69 0.905332 0.619942 0.599380 0.514164 0.580068 0.821394
79 0.919171 0.634917 0.625106 0.539360 0.608915 0.830564
91 0.930743 0.653753 0.654291 0.567023 0.640877 0.837644
104 0.939489 0.675040 0.683917 0.595460 0.673204 0.842351
119 0.946591 0.700092 0.715448 0.626868 0.707690 0.845770
135 0.951948 0.726376 0.745816 0.658366 0.740873 0.848482
154 0.956515 0.755637 0.777226 0.692341 0.775040 0.851564
174 0.960145 0.783147 0.804971 0.723766 0.805012 0.855273
198 0.963629 0.811271 0.831930 0.755897 0.833921 0.860465
223 0.966586 0.835302 0.854024 0.783604 0.857480 0.866330
252 0.969332 0.857586 0.873845 0.809534 0.878488 0.873042
285 0.971669 0.877266 0.890964 0.832512 0.896513 0.879925
321 0.973413 0.893576 0.905004 0.851481 0.911194 0.886235
362 0.974610 0.907356 0.916770 0.867333 0.923387 0.891934
407 0.975195 0.918268 0.925933 0.879632 0.932764 0.896609
457 0.975208 0.926826 0.932981 0.888964 0.939855 0.900321
513 0.974624 0.933175 0.938228 0.895393 0.944917 0.903085
575 0.973333 0.937277 0.941822 0.898700 0.948108 0.904648
645 0.971073 0.939284 0.943866 0.898841 0.949603 0.904648
723 0.967439 0.939237 0.944023 0.895508 0.949142 0.902464
809 0.961945 0.937527 0.941981 0.888673 0.946445 0.897831
905 0.954149 0.934748 0.937756 0.878646 0.941423 0.891133
1011 0.944267 0.931746 0.931965 0.866475 0.934433 0.883253
1130 0.932915 0.929427 0.925694 0.853672 0.926167 0.875298
1261 0.921612 0.928427 0.920267 0.842461 0.917689 0.868803
1407 0.911281 0.928758 0.915846 0.833936 0.908794 0.864361
1570 0.902067 0.929722 0.911254 0.827436 0.898624 0.860587
1750 0.895233 0.930497 0.906493 0.822598 0.888532 0.856017
1950 0.892554 0.930796 0.902218 0.820206 0.880733 0.850077
