n, rho12, rho13, rho14 rho23, rho24, rho34
4 0.182140 0.126347 0.170848 0.598680 0.202558 0.085302
5 0.193337 0.122990 0.213772 0.605503 0.224930 0.079577
7 0.216724 0.123694 0.300750 0.620673 0.264672 0.076639
9 0.238891 0.131694 0.381001 0.636384 0.297959 0.082884
11 0.262734 0.147254 0.455756 0.652965 0.329510 0.097369
13 0.288938 0.169833 0.522392 0.670206 0.360009 0.119416
16 0.331448 0.214269 0.601869 0.696382 0.403123 0.164204
20 0.392879 0.286905 0.679203 0.730663 0.458573 0.238327
23 0.439204 0.344617 0.725581 0.755353 0.498449 0.296911
28 0.505250 0.428184 0.786276 0.792446 0.553646 0.380940
33 0.555198 0.489961 0.828783 0.823502 0.593843 0.442501
38 0.595254 0.538897 0.857682 0.849671 0.625114 0.490778
45 0.637835 0.590329 0.884283 0.877796 0.657096 0.541137
52 0.668008 0.625544 0.901206 0.897838 0.678904 0.575634
60 0.693623 0.654746 0.913720 0.914036 0.696961 0.604048
69 0.714984 0.678464 0.922768 0.926664 0.711638 0.626943
79 0.733241 0.698641 0.929084 0.936384 0.724120 0.646029
91 0.750608 0.717884 0.933617 0.944400 0.736071 0.663756
104 0.766191 0.735226 0.936379 0.950404 0.747007 0.679361
119 0.781379 0.752203 0.937999 0.955329 0.757878 0.694351
135 0.794997 0.767605 0.938657 0.959204 0.767708 0.707668
154 0.808727 0.783448 0.938743 0.962757 0.777560 0.721061
174 0.821704 0.798634 0.938666 0.965854 0.786924 0.733893
198 0.836685 0.816182 0.938894 0.969173 0.798303 0.749418
223 0.851876 0.833895 0.939655 0.972294 0.810785 0.766248
252 0.868227 0.852838 0.940975 0.975364 0.825316 0.785538
285 0.884185 0.871142 0.942643 0.978068 0.840495 0.805373
321 0.898007 0.886874 0.944370 0.980208 0.854522 0.823527
362 0.909767 0.900240 0.946106 0.981900 0.867307 0.840046
407 0.918735 0.910477 0.947656 0.983118 0.877739 0.853681
457 0.925149 0.917849 0.948869 0.983895 0.885661 0.864329
513 0.929379 0.922745 0.949492 0.984233 0.891049 0.871940
575 0.931416 0.925169 0.949141 0.984098 0.893448 0.875915
645 0.931037 0.924909 0.947408 0.983395 0.892204 0.875479
723 0.927928 0.921578 0.944069 0.981996 0.886551 0.869633
809 0.922305 0.915417 0.939360 0.979863 0.876515 0.858390
905 0.914998 0.907502 0.933671 0.977131 0.862850 0.842675
1011 0.907271 0.899326 0.927513 0.974162 0.846666 0.823748
1130 0.900678 0.892428 0.920897 0.971247 0.829213 0.802961
1261 0.895504 0.886966 0.913320 0.968539 0.810936 0.780879
1407 0.889809 0.880828 0.903610 0.965553 0.789521 0.755013
1570 0.883235 0.873288 0.891130 0.962004 0.764497 0.724577
1750 0.878709 0.866930 0.877165 0.958957 0.740215 0.694270
1950 0.877695 0.863108 0.862964 0.957613 0.720324 0.668074
