n, rho12, rho13, rho14 rho23, rho24, rho34
4 0.794893 0.595011 0.356778 0.449096 0.347629 0.549611
5 0.790856 0.600725 0.373964 0.465824 0.368328 0.606224
7 0.793641 0.612536 0.412978 0.496350 0.411745 0.703602
9 0.804751 0.624740 0.450772 0.525756 0.454567 0.778207
11 0.819969 0.637217 0.484120 0.554522 0.494111 0.830851
13 0.836524 0.650179 0.513052 0.582092 0.529011 0.865956
16 0.859716 0.670638 0.550875 0.619744 0.573438 0.898644
20 0.882888 0.696130 0.591122 0.659003 0.617590 0.922600
23 0.894631 0.711783 0.613576 0.680021 0.640700 0.932885
28 0.907210 0.731290 0.639465 0.703037 0.665643 0.942603
33 0.914476 0.744403 0.655140 0.716273 0.679418 0.947436
38 0.918590 0.753389 0.664377 0.723886 0.686768 0.949704
45 0.921244 0.761561 0.671210 0.728966 0.691333 0.950457
52 0.921674 0.766111 0.673666 0.729839 0.691996 0.949567
60 0.920449 0.768374 0.673294 0.727898 0.690288 0.947556
69 0.917946 0.768895 0.671142 0.724214 0.687504 0.944876
79 0.914753 0.768385 0.668530 0.719967 0.684982 0.941960
91 0.911217 0.767613 0.666553 0.715832 0.683516 0.938871
104 0.908228 0.767679 0.666431 0.713342 0.683950 0.936038
119 0.906004 0.769128 0.668321 0.713196 0.686632 0.933235
135 0.905040 0.771325 0.671052 0.715346 0.690825 0.930527
154 0.905363 0.773323 0.673042 0.719531 0.696002 0.927340
174 0.906533 0.773926 0.672375 0.724537 0.700596 0.923651
198 0.908135 0.771953 0.666855 0.729237 0.703103 0.918379
223 0.909252 0.767382 0.656446 0.731324 0.701330 0.911745
252 0.909081 0.760596 0.640961 0.729967 0.694280 0.902749
285 0.907053 0.752767 0.622256 0.724729 0.681952 0.891332
321 0.903803 0.745657 0.603773 0.717871 0.667410 0.878246
362 0.900316 0.739714 0.586467 0.711134 0.652482 0.863392
407 0.897031 0.735080 0.571939 0.704410 0.638298 0.847670
457 0.893615 0.731718 0.560209 0.697153 0.624331 0.831077
513 0.890476 0.728929 0.549566 0.689703 0.609532 0.813127
575 0.888036 0.726174 0.538810 0.682219 0.593267 0.793908
645 0.886293 0.723549 0.527114 0.674901 0.574518 0.773373
723 0.885722 0.721784 0.515139 0.668751 0.554090 0.751368
809 0.885754 0.720736 0.502665 0.663569 0.531775 0.727244
905 0.885643 0.720556 0.489530 0.659243 0.507192 0.700418
1011 0.884741 0.722319 0.476596 0.656652 0.481304 0.671044
1130 0.882417 0.726030 0.464035 0.655355 0.454189 0.638840
1261 0.878046 0.731007 0.452165 0.655153 0.428392 0.605522
1407 0.870836 0.735670 0.438745 0.654639 0.403655 0.570175
1570 0.860586 0.737718 0.422932 0.651430 0.380649 0.532177
1750 0.845957 0.735904 0.406742 0.643327 0.362910 0.493668
1950 0.825897 0.729850 0.390346 0.628474 0.351248 0.455706
