n, rho12, rho13, rho14 rho23, rho24, rho34
4 0.409308 0.418216 0.753975 0.594222 0.607747 0.377804
5 0.421704 0.420938 0.785702 0.608583 0.613372 0.395867
7 0.459673 0.445425 0.835186 0.636952 0.633084 0.437411
9 0.502419 0.480958 0.868396 0.663812 0.657925 0.480565
11 0.542379 0.516524 0.890394 0.688948 0.683022 0.520246
13 0.577878 0.549034 0.905605 0.711646 0.706451 0.555584
16 0.622642 0.591171 0.921142 0.741037 0.737045 0.601125
20 0.667789 0.634535 0.934116 0.772166 0.768721 0.648264
23 0.692683 0.658195 0.940432 0.789665 0.786315 0.673915
28 0.722008 0.685223 0.947165 0.809297 0.807089 0.702683
33 0.741162 0.702196 0.951069 0.820849 0.820809 0.720374
38 0.753652 0.712739 0.953324 0.827596 0.829915 0.731284
45 0.763856 0.720450 0.954795 0.831566 0.837554 0.739001
52 0.768895 0.723121 0.955042 0.831059 0.841523 0.741022
60 0.771159 0.722734 0.954473 0.827210 0.843520 0.739317
69 0.771409 0.719975 0.953293 0.820628 0.844071 0.734750
79 0.770340 0.715394 0.951745 0.812083 0.843665 0.728238
91 0.768034 0.708480 0.949861 0.801439 0.842331 0.719547
104 0.764523 0.699477 0.947899 0.790003 0.839927 0.709284
119 0.759351 0.687381 0.945741 0.776937 0.836058 0.696466
135 0.752759 0.673059 0.943492 0.763070 0.830983 0.682131
154 0.743864 0.655122 0.940782 0.746605 0.824095 0.664818
174 0.733336 0.635533 0.937742 0.729046 0.816001 0.646213
198 0.719157 0.611228 0.933688 0.707483 0.805293 0.623177
223 0.703046 0.585499 0.928986 0.684535 0.793294 0.598507
252 0.683806 0.556759 0.923256 0.658318 0.778873 0.570373
285 0.662694 0.527557 0.916781 0.630382 0.762630 0.541065
321 0.641844 0.501210 0.910130 0.602679 0.745951 0.513646
362 0.621435 0.478000 0.903426 0.574462 0.728896 0.488151
407 0.603329 0.459618 0.897345 0.547611 0.713012 0.466394
457 0.588132 0.445727 0.892089 0.523012 0.698969 0.448342
513 0.575929 0.434801 0.887709 0.501332 0.686967 0.432983
575 0.566122 0.425291 0.884099 0.483013 0.676268 0.419061
645 0.557088 0.416234 0.880717 0.467550 0.665268 0.405538
723 0.547473 0.407570 0.876889 0.454212 0.653156 0.391992
809 0.535519 0.398051 0.872242 0.441340 0.638982 0.377387
905 0.521313 0.387709 0.866773 0.427969 0.623322 0.361810
1011 0.506306 0.377549 0.860844 0.414074 0.608029 0.347012
1130 0.490261 0.365900 0.855008 0.400163 0.593141 0.332441
1261 0.474739 0.351502 0.850669 0.387219 0.580246 0.318290
1407 0.461225 0.333915 0.848757 0.375796 0.569845 0.303706
1570 0.449624 0.311737 0.848263 0.365089 0.560976 0.285438
1750 0.441659 0.287888 0.848757 0.354929 0.553749 0.262354
1950 0.439934 0.268075 0.849711 0.345737 0.550046 0.235646
