n, rho12, rho13, rho14 rho23, rho24, rho34
4 0.753975 0.607747 0.377804 0.409308 0.418216 0.594222
5 0.785702 0.613372 0.395867 0.421704 0.420938 0.608583
7 0.835186 0.633084 0.437411 0.459673 0.445425 0.636952
9 0.868396 0.657925 0.480565 0.502419 0.480958 0.663812
11 0.890394 0.683022 0.520246 0.542379 0.516524 0.688948
13 0.905605 0.706451 0.555584 0.577878 0.549034 0.711646
16 0.921142 0.737045 0.601125 0.622642 0.591171 0.741037
20 0.934116 0.768721 0.648264 0.667789 0.634535 0.772166
23 0.940432 0.786315 0.673915 0.692683 0.658195 0.789665
28 0.947165 0.807089 0.702683 0.722008 0.685223 0.809297
33 0.951069 0.820809 0.720374 0.741162 0.702196 0.820849
38 0.953324 0.829915 0.731284 0.753652 0.712739 0.827596
45 0.954795 0.837554 0.739001 0.763856 0.720450 0.831566
52 0.955042 0.841523 0.741022 0.768895 0.723121 0.831059
60 0.954473 0.843520 0.739317 0.771159 0.722734 0.827210
69 0.953293 0.844071 0.734750 0.771409 0.719975 0.820628
79 0.951745 0.843665 0.728238 0.770340 0.715394 0.812083
91 0.949861 0.842331 0.719547 0.768034 0.708480 0.801439
104 0.947899 0.839927 0.709284 0.764523 0.699477 0.790003
119 0.945741 0.836058 0.696466 0.759351 0.687381 0.776937
135 0.943492 0.830983 0.682131 0.752759 0.673059 0.763070
154 0.940782 0.824095 0.664818 0.743864 0.655122 0.746605
174 0.937742 0.816001 0.646213 0.733336 0.635533 0.729046
198 0.933688 0.805293 0.623177 0.719157 0.611228 0.707483
223 0.928986 0.793294 0.598507 0.703046 0.585499 0.684535
252 0.923256 0.778873 0.570373 0.683806 0.556759 0.658318
285 0.916781 0.762630 0.541065 0.662694 0.527557 0.630382
321 0.910130 0.745951 0.513646 0.641844 0.501210 0.602679
362 0.903426 0.728896 0.488151 0.621435 0.478000 0.574462
407 0.897345 0.713012 0.466394 0.603329 0.459618 0.547611
457 0.892089 0.698969 0.448342 0.588132 0.445727 0.523012
513 0.887709 0.686967 0.432983 0.575929 0.434801 0.501332
575 0.884099 0.676268 0.419061 0.566122 0.425291 0.483013
645 0.880717 0.665268 0.405538 0.557088 0.416234 0.467550
723 0.876889 0.653156 0.391992 0.547473 0.407570 0.454212
809 0.872242 0.638982 0.377387 0.535519 0.398051 0.441340
905 0.866773 0.623322 0.361810 0.521313 0.387709 0.427969
1011 0.860844 0.608029 0.347012 0.506306 0.377549 0.414074
1130 0.855008 0.593141 0.332441 0.490261 0.365900 0.400163
1261 0.850669 0.580246 0.318290 0.474739 0.351502 0.387219
1407 0.848757 0.569845 0.303706 0.461225 0.333915 0.375796
1570 0.848263 0.560976 0.285438 0.449624 0.311737 0.365089
1750 0.848757 0.553749 0.262354 0.441659 0.287888 0.354929
1950 0.849711 0.550046 0.235646 0.439934 0.268075 0.345737
