n, rho12, rho13, rho14 rho23, rho24, rho34
4 0.747923 0.636669 0.366596 0.505111 0.367098 0.662780
5 0.743162 0.642739 0.401594 0.517641 0.404286 0.718337
7 0.751472 0.660029 0.462172 0.548673 0.467839 0.799902
9 0.770094 0.680390 0.511390 0.582459 0.519244 0.852122
11 0.791378 0.701181 0.551831 0.615725 0.562078 0.884721
13 0.812150 0.721256 0.585710 0.646966 0.598292 0.905102
16 0.840060 0.749107 0.628359 0.688924 0.643694 0.923794
20 0.869958 0.779746 0.673100 0.733821 0.690493 0.938461
23 0.886819 0.796747 0.697938 0.758606 0.716039 0.945542
28 0.906595 0.815750 0.726370 0.786206 0.744345 0.953426
33 0.919661 0.827315 0.744510 0.802532 0.761000 0.958538
38 0.928669 0.834290 0.756243 0.812037 0.770589 0.961992
45 0.936887 0.839216 0.765628 0.818457 0.776905 0.965037
52 0.941860 0.840983 0.770119 0.820358 0.778629 0.966787
60 0.945217 0.841081 0.772075 0.819746 0.777785 0.967908
69 0.947246 0.839971 0.772067 0.817391 0.775039 0.968556
79 0.948170 0.837868 0.770394 0.813816 0.770877 0.968834
91 0.948150 0.834759 0.767066 0.809079 0.765278 0.968780
104 0.947315 0.831297 0.762770 0.804149 0.759275 0.968368
119 0.945815 0.827607 0.757689 0.799188 0.752996 0.967562
135 0.944020 0.824219 0.752618 0.795039 0.747422 0.966473
154 0.942077 0.821061 0.747496 0.791864 0.742554 0.965064
174 0.940373 0.818729 0.743147 0.790360 0.739177 0.963555
198 0.938485 0.816634 0.738495 0.789759 0.736020 0.961731
223 0.936157 0.814450 0.733447 0.788843 0.732121 0.959800
252 0.932642 0.811353 0.727023 0.786157 0.725874 0.957644
285 0.927557 0.807162 0.719228 0.781029 0.716815 0.955485
321 0.921008 0.802133 0.710548 0.774075 0.705885 0.953527
362 0.912896 0.795936 0.700704 0.765688 0.693574 0.951704
407 0.903766 0.789258 0.690734 0.756830 0.681037 0.950150
457 0.893371 0.781881 0.680082 0.746994 0.667507 0.948584
513 0.881401 0.773358 0.668171 0.735802 0.652326 0.946892
575 0.868029 0.763863 0.655357 0.723770 0.635979 0.945292
645 0.852990 0.753039 0.641195 0.710984 0.618365 0.944066
723 0.836899 0.741160 0.626227 0.697947 0.600427 0.943577
809 0.820657 0.728428 0.611006 0.684575 0.582721 0.943897
905 0.805574 0.716148 0.596910 0.671834 0.566516 0.944881
1011 0.793267 0.705011 0.584714 0.660874 0.553277 0.946352
1130 0.784861 0.694790 0.573473 0.652279 0.543116 0.947872
1261 0.781402 0.685379 0.562613 0.645929 0.535370 0.949040
1407 0.783089 0.676284 0.551508 0.640786 0.528674 0.949556
1570 0.789480 0.667796 0.540887 0.636705 0.522983 0.949393
1750 0.798600 0.661785 0.534155 0.634388 0.520015 0.948905
1950 0.808717 0.662007 0.536611 0.635820 0.522481 0.948591
