n, rho12, rho13, rho14 rho23, rho24, rho34
4 0.525742 0.644527 0.533260 0.409437 0.420202 0.849472
5 0.555745 0.648721 0.536922 0.416455 0.428068 0.839030
7 0.614688 0.657548 0.542556 0.435807 0.445362 0.828708
9 0.671579 0.665360 0.548425 0.459697 0.465315 0.828545
11 0.720202 0.670662 0.554945 0.481649 0.484084 0.834451
13 0.758024 0.673580 0.562112 0.499341 0.500240 0.843600
16 0.799388 0.676404 0.574483 0.521401 0.522436 0.858823
20 0.835989 0.679884 0.590072 0.546289 0.549376 0.875336
23 0.853544 0.682164 0.598087 0.561291 0.566005 0.883670
28 0.870047 0.683727 0.603428 0.578803 0.585564 0.892330
33 0.877059 0.682836 0.601911 0.590239 0.598138 0.896966
38 0.878470 0.680632 0.596653 0.598477 0.606845 0.899049
45 0.874585 0.675573 0.584920 0.605901 0.614429 0.899382
52 0.866756 0.667974 0.569186 0.609018 0.617626 0.897543
60 0.855702 0.656410 0.547805 0.607867 0.616724 0.893653
69 0.843127 0.641885 0.522992 0.602707 0.612338 0.888184
79 0.830805 0.627015 0.498676 0.595290 0.606469 0.882070
91 0.819171 0.613045 0.476386 0.586668 0.600319 0.875707
104 0.810390 0.602520 0.460174 0.578457 0.595047 0.870375
119 0.804541 0.594921 0.449779 0.570408 0.590360 0.866108
135 0.802628 0.590923 0.447099 0.563157 0.586590 0.863612
154 0.805100 0.591261 0.454109 0.556474 0.583892 0.862891
174 0.811119 0.595989 0.470017 0.551278 0.582717 0.863550
198 0.820150 0.605475 0.495586 0.547836 0.583255 0.865564
223 0.828330 0.616990 0.522864 0.547603 0.585637 0.868135
252 0.833531 0.629487 0.548013 0.551127 0.589848 0.870093
285 0.833865 0.641010 0.565800 0.558659 0.595519 0.870072
321 0.830554 0.651136 0.576976 0.569536 0.602054 0.868155
362 0.825487 0.661990 0.586853 0.584066 0.609799 0.865243
407 0.818827 0.673451 0.595585 0.600513 0.617503 0.861527
457 0.809786 0.684297 0.600321 0.616590 0.623021 0.856378
513 0.799716 0.694436 0.602427 0.630849 0.625493 0.850265
575 0.789454 0.703918 0.603024 0.642677 0.625152 0.843469
645 0.779308 0.712992 0.601912 0.652508 0.622787 0.835588
723 0.770740 0.720835 0.599827 0.659192 0.618256 0.827179
809 0.763630 0.725801 0.595142 0.660957 0.610346 0.817788
905 0.758098 0.728247 0.588525 0.659032 0.599907 0.807931
1011 0.754406 0.728967 0.581866 0.654173 0.588827 0.798789
1130 0.751738 0.728445 0.577137 0.646207 0.578846 0.791088
1261 0.747541 0.726299 0.574836 0.635066 0.571766 0.785080
1407 0.739723 0.720416 0.572742 0.619864 0.567242 0.779299
1570 0.726417 0.710233 0.569403 0.600423 0.564332 0.771997
1750 0.710636 0.696383 0.564880 0.578399 0.562812 0.762493
1950 0.696478 0.684054 0.563785 0.559641 0.565332 0.751726
